Latitude (decimal degrees):	48.265
Longitude (decimal degrees):	11.669
Elevation (m):	476
Radiation database:	PVGIS-SARAH3


Slope: 38 deg. (optimum)
Azimuth: 1 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	0.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20050102:0010,0.0,0.0,0.0,0.0,0.0,4.88,4.55,0.0
20050102:0110,0.0,0.0,0.0,0.0,0.0,5.54,4.83,0.0
20050102:0210,0.0,0.0,0.0,0.0,0.0,6.02,4.97,0.0
20050102:0310,0.0,0.0,0.0,0.0,0.0,6.18,5.17,0.0
20050102:0410,0.0,0.0,0.0,0.0,0.0,6.41,5.24,0.0
20050102:0510,0.0,0.0,0.0,0.0,0.0,6.73,5.45,0.0
20050102:0610,0.0,0.0,0.0,0.0,0.0,6.88,5.66,0.0
20050102:0710,0.0,0.0,0.0,0.0,0.0,6.88,5.79,0.0
20050102:0810,28.82,12.43,29.45,0.71,7.5,6.78,5.79,0.0
20050102:0910,23.26,0.0,35.78,0.84,13.39,6.8,5.93,0.0
20050102:1010,12.33,0.0,23.26,0.55,17.27,6.15,6.0,0.0
20050102:1110,33.53,0.0,46.52,1.09,18.8,5.5,5.59,0.0
20050102:1210,40.66,0.0,53.67,1.26,17.8,4.62,4.9,0.0
20050102:1310,41.65,0.0,54.57,1.28,14.4,4.05,4.41,0.0
20050102:1410,11.01,0.0,21.47,0.5,8.91,3.58,4.62,0.0
20050102:1510,0.0,0.0,3.58,0.08,1.75,3.11,4.28,0.0
20050102:1610,0.0,0.0,0.0,0.0,0.0,2.57,3.93,0.0
20050102:1710,0.0,0.0,0.0,0.0,0.0,2.03,3.93,0.0
20050102:1810,0.0,0.0,0.0,0.0,0.0,1.52,3.93,0.0
20050102:1910,0.0,0.0,0.0,0.0,0.0,1.3,3.72,0.0
20050102:2010,0.0,0.0,0.0,0.0,0.0,0.9,3.72,0.0
20050102:2110,0.0,0.0,0.0,0.0,0.0,0.53,4.0,0.0
20050102:2210,0.0,0.0,0.0,0.0,0.0,0.35,4.14,0.0
20050102:2310,0.0,0.0,0.0,0.0,0.0,0.34,4.41,0.0
20050103:0010,0.0,0.0,0.0,0.0,0.0,0.23,4.55,0.0
20050103:0110,0.0,0.0,0.0,0.0,0.0,0.15,4.69,0.0
20050103:0210,0.0,0.0,0.0,0.0,0.0,0.21,4.76,0.0
20050103:0310,0.0,0.0,0.0,0.0,0.0,0.08,4.76,0.0
20050103:0410,0.0,0.0,0.0,0.0,0.0,0.15,4.97,0.0
20050103:0510,0.0,0.0,0.0,0.0,0.0,0.43,5.17,0.0
20050103:0610,0.0,0.0,0.0,0.0,0.0,0.52,5.31,0.0
20050103:0710,0.0,0.0,0.0,0.0,0.0,0.99,5.24,0.0
20050103:0810,52.25,28.86,35.8,0.88,7.54,1.12,5.59,0.0
20050103:0910,37.76,0.0,50.09,1.17,13.44,1.38,5.66,0.0
20050103:1010,138.28,29.28,115.3,2.79,17.34,1.73,6.9,0.0
20050103:1110,52.02,0.0,64.41,1.51,18.89,2.28,6.9,0.0
20050103:1210,85.12,2.65,93.49,2.2,17.91,2.55,6.55,0.0
20050103:1310,27.15,0.0,39.36,0.92,14.52,2.42,4.83,0.0
20050103:1410,29.75,0.0,42.04,0.99,9.04,2.24,5.86,0.0
20050103:1510,1.35,0.0,8.05,0.19,1.89,2.03,5.52,0.0
20050103:1610,0.0,0.0,0.0,0.0,0.0,1.87,5.45,0.0
20050103:1710,0.0,0.0,0.0,0.0,0.0,1.94,5.52,0.0
20050103:1810,0.0,0.0,0.0,0.0,0.0,2.01,5.52,0.0
20050103:1910,0.0,0.0,0.0,0.0,0.0,2.63,5.31,0.0
20050103:2010,0.0,0.0,0.0,0.0,0.0,2.69,5.24,0.0
20050103:2110,0.0,0.0,0.0,0.0,0.0,2.93,5.17,0.0
20050103:2210,0.0,0.0,0.0,0.0,0.0,2.77,5.17,0.0
20050103:2310,0.0,0.0,0.0,0.0,0.0,2.67,5.1,0.0
20050104:0010,0.0,0.0,0.0,0.0,0.0,2.77,5.1,0.0
20050104:0110,0.0,0.0,0.0,0.0,0.0,2.84,5.1,0.0
20050104:0210,0.0,0.0,0.0,0.0,0.0,2.94,5.24,0.0
20050104:0310,0.0,0.0,0.0,0.0,0.0,3.03,5.31,0.0
20050104:0410,0.0,0.0,0.0,0.0,0.0,2.79,5.1,0.0
20050104:0510,0.0,0.0,0.0,0.0,0.0,2.92,5.03,0.0
20050104:0610,0.0,0.0,0.0,0.0,0.0,3.02,5.24,0.0
20050104:0710,0.0,0.0,0.0,0.0,0.0,3.23,5.24,0.0
20050104:0810,8.16,0.0,17.89,0.42,7.58,3.17,5.17,0.0
20050104:0910,161.76,71.26,96.26,2.41,13.5,3.67,4.9,0.0
20050104:1010,665.7,532.87,114.62,5.56,17.42,4.27,4.41,0.0
20050104:1110,739.97,588.13,136.13,6.4,18.99,5.28,4.97,0.0
20050104:1210,225.93,76.44,152.16,3.73,18.03,5.86,4.69,0.0
20050104:1310,283.19,133.78,149.25,3.63,14.65,6.51,4.48,0.0
20050104:1410,260.25,146.87,116.45,2.54,9.17,6.4,4.21,0.0
20050104:1510,10.88,0.0,21.47,0.5,2.03,5.71,4.07,0.0
20050104:1610,0.0,0.0,0.0,0.0,0.0,4.75,3.79,0.0
20050104:1710,0.0,0.0,0.0,0.0,0.0,4.03,3.52,0.0
20050104:1810,0.0,0.0,0.0,0.0,0.0,3.59,3.38,0.0
20050104:1910,0.0,0.0,0.0,0.0,0.0,3.92,3.24,0.0
20050104:2010,0.0,0.0,0.0,0.0,0.0,3.63,2.97,0.0
20050104:2110,0.0,0.0,0.0,0.0,0.0,3.18,2.76,0.0
20050104:2210,0.0,0.0,0.0,0.0,0.0,2.77,2.76,0.0
20050104:2310,0.0,0.0,0.0,0.0,0.0,2.42,2.76,0.0
20050105:0010,0.0,0.0,0.0,0.0,0.0,2.08,2.76,0.0
20050105:0110,0.0,0.0,0.0,0.0,0.0,1.99,2.9,0.0
20050105:0210,0.0,0.0,0.0,0.0,0.0,1.93,3.03,0.0
20050105:0310,0.0,0.0,0.0,0.0,0.0,1.97,3.17,0.0
20050105:0410,0.0,0.0,0.0,0.0,0.0,2.25,3.38,0.0
20050105:0510,0.0,0.0,0.0,0.0,0.0,2.29,3.52,0.0
20050105:0610,0.0,0.0,0.0,0.0,0.0,2.06,3.45,0.0
20050105:0710,0.0,0.0,0.0,0.0,0.0,2.41,3.59,0.0
20050105:0810,220.25,183.15,40.69,1.45,7.62,2.77,3.38,0.0
20050105:0910,507.3,410.78,83.59,3.88,13.56,4.07,3.38,0.0
20050105:1010,584.11,435.61,139.97,5.26,17.51,5.46,2.83,0.0
20050105:1110,216.76,69.05,152.23,3.75,19.09,6.55,3.45,0.0
20050105:1210,432.72,241.3,185.69,4.95,18.15,7.15,3.79,0.0
20050105:1310,703.87,583.6,120.44,5.45,14.78,7.23,3.45,0.0
20050105:1410,384.82,253.04,131.78,2.98,9.31,7.04,3.38,0.0
20050105:1510,1.29,0.0,8.05,0.19,2.17,6.1,2.97,0.0
20050105:1610,0.0,0.0,0.0,0.0,0.0,5.32,2.69,0.0
20050105:1710,0.0,0.0,0.0,0.0,0.0,5.0,2.69,0.0
20050105:1810,0.0,0.0,0.0,0.0,0.0,5.22,3.1,0.0
20050105:1910,0.0,0.0,0.0,0.0,0.0,5.98,3.45,0.0
20050105:2010,0.0,0.0,0.0,0.0,0.0,6.19,3.66,0.0
20050105:2110,0.0,0.0,0.0,0.0,0.0,6.29,3.79,0.0
20050105:2210,0.0,0.0,0.0,0.0,0.0,6.72,4.34,0.0
20050105:2310,0.0,0.0,0.0,0.0,0.0,6.93,4.41,0.0
20050106:0010,0.0,0.0,0.0,0.0,0.0,7.29,4.55,0.0
20050106:0110,0.0,0.0,0.0,0.0,0.0,7.44,5.38,0.0
20050106:0210,0.0,0.0,0.0,0.0,0.0,7.17,6.0,0.0
20050106:0310,0.0,0.0,0.0,0.0,0.0,6.67,6.14,0.0
20050106:0410,0.0,0.0,0.0,0.0,0.0,6.54,6.21,0.0
20050106:0510,0.0,0.0,0.0,0.0,0.0,6.14,6.41,0.0
20050106:0610,0.0,0.0,0.0,0.0,0.0,6.05,6.48,0.0
20050106:0710,0.0,0.0,0.0,0.0,0.0,6.14,6.41,0.0
20050106:0810,117.43,84.82,44.21,1.17,7.67,6.06,6.34,0.0
20050106:0910,56.2,5.88,63.55,1.51,13.63,5.98,6.07,0.0
20050106:1010,24.18,0.0,36.68,0.86,17.6,5.98,5.93,0.0
20050106:1110,63.71,0.0,76.93,1.8,19.21,6.13,5.72,0.0
20050106:1210,117.82,13.05,115.39,2.75,18.28,6.23,6.0,0.0
20050106:1310,423.96,249.63,165.75,4.3,14.93,6.61,5.59,0.0
20050106:1410,70.52,14.7,69.01,1.61,9.46,6.49,5.31,0.0
20050106:1510,31.07,20.88,24.15,0.55,2.33,5.98,4.21,0.0
20050106:1610,0.0,0.0,0.0,0.0,0.0,5.63,3.86,0.0
20050106:1710,0.0,0.0,0.0,0.0,0.0,5.33,3.66,0.0
20050106:1810,0.0,0.0,0.0,0.0,0.0,5.3,3.45,0.0
20050106:1910,0.0,0.0,0.0,0.0,0.0,4.98,3.03,0.0
20050106:2010,0.0,0.0,0.0,0.0,0.0,4.66,2.97,0.0
20050106:2110,0.0,0.0,0.0,0.0,0.0,4.21,2.9,0.0
20050106:2210,0.0,0.0,0.0,0.0,0.0,3.87,2.76,0.0
20050106:2310,0.0,0.0,0.0,0.0,0.0,3.38,2.55,0.0
20050107:0010,0.0,0.0,0.0,0.0,0.0,3.19,2.62,0.0
20050107:0110,0.0,0.0,0.0,0.0,0.0,2.84,2.62,0.0
20050107:0210,0.0,0.0,0.0,0.0,0.0,2.75,2.55,0.0
20050107:0310,0.0,0.0,0.0,0.0,0.0,2.68,2.34,0.0
20050107:0410,0.0,0.0,0.0,0.0,0.0,2.13,2.21,0.0
20050107:0510,0.0,0.0,0.0,0.0,0.0,1.76,2.07,0.0
20050107:0610,0.0,0.0,0.0,0.0,0.0,1.2,2.14,0.0
20050107:0710,0.0,0.0,0.0,0.0,0.0,1.92,2.41,0.0
20050107:0810,223.96,188.27,39.16,1.47,7.73,2.18,2.28,0.0
20050107:0910,419.02,307.01,104.17,3.59,13.71,3.61,2.0,0.0
20050107:1010,546.55,392.38,148.52,5.16,17.7,5.68,2.21,0.0
20050107:1110,736.66,615.74,128.52,6.58,19.33,7.37,2.48,0.0
20050107:1210,523.02,334.81,188.85,5.47,18.42,8.73,2.62,0.0
20050107:1310,657.08,532.73,136.68,5.39,15.07,9.42,2.28,0.0
20050107:1410,406.7,279.51,132.19,3.12,9.62,9.49,2.9,0.0
20050107:1510,168.15,137.66,47.17,0.9,2.48,8.51,2.76,0.0
20050107:1610,0.0,0.0,0.0,0.0,0.0,6.98,2.69,0.0
20050107:1710,0.0,0.0,0.0,0.0,0.0,5.94,2.69,0.0
20050107:1810,0.0,0.0,0.0,0.0,0.0,5.26,2.69,0.0
20050107:1910,0.0,0.0,0.0,0.0,0.0,4.57,2.14,0.0
20050107:2010,0.0,0.0,0.0,0.0,0.0,3.72,1.93,0.0
20050107:2110,0.0,0.0,0.0,0.0,0.0,2.5,1.66,0.0
20050107:2210,0.0,0.0,0.0,0.0,0.0,2.78,1.1,0.0
20050107:2310,0.0,0.0,0.0,0.0,0.0,3.36,0.76,0.0
20050108:0010,0.0,0.0,0.0,0.0,0.0,2.87,0.48,0.0
20050108:0110,0.0,0.0,0.0,0.0,0.0,2.72,0.21,0.0
20050108:0210,0.0,0.0,0.0,0.0,0.0,2.4,0.28,0.0
20050108:0310,0.0,0.0,0.0,0.0,0.0,1.88,0.83,0.0
20050108:0410,0.0,0.0,0.0,0.0,0.0,0.25,1.1,0.0
20050108:0510,0.0,0.0,0.0,0.0,0.0,-0.32,1.31,0.0
20050108:0610,0.0,0.0,0.0,0.0,0.0,-0.51,1.38,0.0
20050108:0710,0.0,0.0,0.0,0.0,0.0,-1.04,1.59,0.0
20050108:0810,242.19,202.45,40.35,1.55,7.8,-0.15,1.52,0.0
20050108:0910,527.65,438.91,79.82,4.07,13.8,2.26,1.24,0.0
20050108:1010,701.75,616.84,96.68,6.04,17.81,5.97,1.17,0.0
20050108:1110,739.44,635.37,128.08,6.75,19.46,8.27,1.31,0.0
20050108:1210,727.82,606.51,145.31,6.58,18.56,10.23,1.93,0.0
20050108:1310,682.18,562.72,133.69,5.58,15.23,11.53,3.38,0.0
20050108:1410,606.24,512.45,105.04,3.86,9.78,11.63,4.28,0.0
20050108:1510,329.58,287.68,60.07,1.17,2.64,10.7,4.76,0.0
20050108:1610,0.0,0.0,0.0,0.0,0.0,9.58,5.1,0.0
20050108:1710,0.0,0.0,0.0,0.0,0.0,9.13,5.31,0.0
20050108:1810,0.0,0.0,0.0,0.0,0.0,8.99,5.31,0.0
20050108:1910,0.0,0.0,0.0,0.0,0.0,8.67,4.83,0.0
20050108:2010,0.0,0.0,0.0,0.0,0.0,8.62,4.76,0.0
20050108:2110,0.0,0.0,0.0,0.0,0.0,8.56,4.48,0.0
20050108:2210,0.0,0.0,0.0,0.0,0.0,8.27,4.14,0.0
20050108:2310,0.0,0.0,0.0,0.0,0.0,7.88,3.72,0.0
20050109:0010,0.0,0.0,0.0,0.0,0.0,7.59,3.52,0.0
20050109:0110,0.0,0.0,0.0,0.0,0.0,7.28,3.38,0.0
20050109:0210,0.0,0.0,0.0,0.0,0.0,7.18,3.45,0.0
20050109:0310,0.0,0.0,0.0,0.0,0.0,7.13,3.66,0.0
20050109:0410,0.0,0.0,0.0,0.0,0.0,7.06,3.86,0.0
20050109:0510,0.0,0.0,0.0,0.0,0.0,6.93,4.07,0.0
20050109:0610,0.0,0.0,0.0,0.0,0.0,6.93,4.14,0.0
20050109:0710,0.0,0.0,0.0,0.0,0.0,6.61,2.97,0.0
20050109:0810,23.95,7.86,28.76,0.69,7.87,6.63,2.97,0.0
20050109:0910,36.66,0.0,50.09,1.17,13.9,7.03,3.17,0.0
20050109:1010,10.77,0.0,21.47,0.5,17.93,7.47,3.38,0.0
20050109:1110,33.12,0.0,46.52,1.09,19.59,7.74,3.72,0.0
20050109:1210,15.22,0.0,26.84,0.63,18.71,7.79,3.93,0.0
20050109:1310,33.11,0.0,46.52,1.09,15.39,7.78,3.59,0.0
20050109:1410,487.77,360.76,127.57,3.44,9.94,7.73,3.24,0.0
20050109:1510,7.94,0.0,17.89,0.42,2.81,7.5,2.76,0.0
20050109:1610,0.0,0.0,0.0,0.0,0.0,6.99,2.48,0.0
20050109:1710,0.0,0.0,0.0,0.0,0.0,6.51,2.28,0.0
20050109:1810,0.0,0.0,0.0,0.0,0.0,5.96,2.14,0.0
20050109:1910,0.0,0.0,0.0,0.0,0.0,5.81,1.72,0.0
20050109:2010,0.0,0.0,0.0,0.0,0.0,5.08,1.72,0.0
20050109:2110,0.0,0.0,0.0,0.0,0.0,4.6,1.72,0.0
20050109:2210,0.0,0.0,0.0,0.0,0.0,3.69,1.72,0.0
20050109:2310,0.0,0.0,0.0,0.0,0.0,2.64,1.66,0.0
20050110:0010,0.0,0.0,0.0,0.0,0.0,1.89,1.59,0.0
20050110:0110,0.0,0.0,0.0,0.0,0.0,1.79,1.38,0.0
20050110:0210,0.0,0.0,0.0,0.0,0.0,1.71,1.24,0.0
20050110:0310,0.0,0.0,0.0,0.0,0.0,1.72,1.17,0.0
20050110:0410,0.0,0.0,0.0,0.0,0.0,1.34,1.1,0.0
20050110:0510,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.0
20050110:0610,0.0,0.0,0.0,0.0,0.0,1.63,0.97,0.0
20050110:0710,0.0,0.0,0.0,0.0,0.0,1.11,0.69,0.0
20050110:0810,235.87,198.43,41.21,1.57,7.96,1.51,0.55,0.0
20050110:0910,507.65,424.68,81.41,4.05,14.0,2.64,0.14,0.0
20050110:1010,654.34,568.97,104.75,5.85,18.05,5.5,0.0,0.0
20050110:1110,585.26,426.57,177.92,6.04,19.73,7.78,0.0,0.0
20050110:1210,350.91,175.97,183.61,4.74,18.87,9.26,0.07,0.0
20050110:1310,498.48,342.45,171.26,4.89,15.56,9.79,0.34,0.0
20050110:1410,545.27,450.2,115.4,3.75,10.11,9.8,0.76,0.0
20050110:1510,356.84,315.89,60.74,1.3,2.98,8.62,1.59,0.0
20050110:1610,0.0,0.0,0.0,0.0,0.0,6.21,1.86,0.0
20050110:1710,0.0,0.0,0.0,0.0,0.0,3.05,1.86,0.0
20050110:1810,0.0,0.0,0.0,0.0,0.0,1.76,1.93,0.0
20050110:1910,0.0,0.0,0.0,0.0,0.0,3.52,1.1,0.0
20050110:2010,0.0,0.0,0.0,0.0,0.0,0.92,1.59,0.0
20050110:2110,0.0,0.0,0.0,0.0,0.0,-0.44,1.86,0.0
20050110:2210,0.0,0.0,0.0,0.0,0.0,-1.23,2.07,0.0
20050110:2310,0.0,0.0,0.0,0.0,0.0,-1.11,2.34,0.0
20050111:0010,0.0,0.0,0.0,0.0,0.0,-0.42,2.69,0.0
20050111:0110,0.0,0.0,0.0,0.0,0.0,0.36,2.83,0.0
20050111:0210,0.0,0.0,0.0,0.0,0.0,0.61,2.69,0.0
20050111:0310,0.0,0.0,0.0,0.0,0.0,0.44,2.55,0.0
20050111:0410,0.0,0.0,0.0,0.0,0.0,-0.02,2.41,0.0
20050111:0510,0.0,0.0,0.0,0.0,0.0,-0.54,2.28,0.0
20050111:0610,0.0,0.0,0.0,0.0,0.0,-0.96,2.28,0.0
20050111:0710,0.0,0.0,0.0,0.0,0.0,-1.24,2.21,0.0
20050111:0810,198.42,153.93,47.28,1.49,8.04,-0.63,2.0,0.0
20050111:0910,328.89,208.02,115.52,3.33,14.11,2.35,1.59,0.0
20050111:1010,112.22,15.36,108.5,2.6,18.18,6.23,1.31,0.0
20050111:1110,779.86,699.49,105.84,7.09,19.88,7.77,1.45,0.0
20050111:1210,779.17,691.88,113.91,6.96,19.04,8.54,1.66,0.0
20050111:1310,730.44,646.22,107.09,5.98,15.73,9.0,1.72,0.0
20050111:1410,574.51,478.56,111.05,3.9,10.29,8.42,1.24,0.0
20050111:1510,390.78,347.12,61.6,1.4,3.16,6.6,1.31,0.0
20050111:1610,0.0,0.0,0.0,0.0,0.0,5.49,1.45,0.0
20050111:1710,0.0,0.0,0.0,0.0,0.0,3.62,1.59,0.0
20050111:1810,0.0,0.0,0.0,0.0,0.0,2.09,1.59,0.0
20050111:1910,0.0,0.0,0.0,0.0,0.0,1.55,1.66,0.0
20050111:2010,0.0,0.0,0.0,0.0,0.0,0.23,1.66,0.0
20050111:2110,0.0,0.0,0.0,0.0,0.0,-0.17,1.66,0.0
20050111:2210,0.0,0.0,0.0,0.0,0.0,-0.18,1.59,0.0
20050111:2310,0.0,0.0,0.0,0.0,0.0,-0.33,1.59,0.0
20050112:0010,0.0,0.0,0.0,0.0,0.0,-1.04,1.72,0.0
20050112:0110,0.0,0.0,0.0,0.0,0.0,-1.3,1.72,0.0
20050112:0210,0.0,0.0,0.0,0.0,0.0,-1.61,1.79,0.0
20050112:0310,0.0,0.0,0.0,0.0,0.0,-1.7,1.79,0.0
20050112:0410,0.0,0.0,0.0,0.0,0.0,-1.51,1.93,0.0
20050112:0510,0.0,0.0,0.0,0.0,0.0,-0.73,1.93,0.0
20050112:0610,0.0,0.0,0.0,0.0,0.0,0.36,1.93,0.0
20050112:0710,0.0,0.0,0.0,0.0,0.0,1.39,2.0,0.0
20050112:0810,243.96,205.41,41.34,1.64,8.14,2.4,1.93,0.0
20050112:0910,520.47,432.81,79.52,4.13,14.22,3.79,1.79,0.0
20050112:1010,703.94,615.67,91.05,6.1,18.32,4.96,1.66,0.0
20050112:1110,779.49,700.32,101.58,7.09,20.04,6.67,1.31,0.0
20050112:1210,559.63,377.7,189.28,5.85,19.21,7.75,1.1,0.0
20050112:1310,323.28,164.33,164.0,4.11,15.91,8.31,0.97,0.0
20050112:1410,188.24,88.29,109.49,2.52,10.47,7.72,1.17,0.0
20050112:1510,11.56,0.0,22.36,0.52,3.34,6.4,1.45,0.0
20050112:1610,0.0,0.0,0.0,0.0,0.0,4.93,1.86,0.0
20050112:1710,0.0,0.0,0.0,0.0,0.0,4.05,2.0,0.0
20050112:1810,0.0,0.0,0.0,0.0,0.0,3.72,2.0,0.0
20050112:1910,0.0,0.0,0.0,0.0,0.0,4.39,1.86,0.0
20050112:2010,0.0,0.0,0.0,0.0,0.0,4.6,2.28,0.0
20050112:2110,0.0,0.0,0.0,0.0,0.0,4.65,2.48,0.0
20050112:2210,0.0,0.0,0.0,0.0,0.0,4.45,2.69,0.0
20050112:2310,0.0,0.0,0.0,0.0,0.0,4.6,2.76,0.0
20050113:0010,0.0,0.0,0.0,0.0,0.0,4.85,2.76,0.0
20050113:0110,0.0,0.0,0.0,0.0,0.0,4.96,2.76,0.0
20050113:0210,0.0,0.0,0.0,0.0,0.0,4.88,2.69,0.0
20050113:0310,0.0,0.0,0.0,0.0,0.0,4.68,2.55,0.0
20050113:0410,0.0,0.0,0.0,0.0,0.0,4.53,2.62,0.0
20050113:0510,0.0,0.0,0.0,0.0,0.0,4.45,2.69,0.0
20050113:0610,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0
20050113:0710,0.0,0.0,0.0,0.0,0.0,4.17,0.0,0.0
20050113:0810,252.71,214.2,41.87,1.7,8.24,3.86,2.55,0.0
20050113:0910,17.89,0.0,29.52,0.69,14.34,4.09,3.17,0.0
20050113:1010,273.45,118.82,152.82,3.94,18.46,4.63,3.79,0.0
20050113:1110,395.07,198.53,187.66,5.03,20.2,5.0,4.0,0.0
20050113:1210,15.43,0.0,26.84,0.63,19.39,5.34,4.34,0.0
20050113:1310,392.38,211.81,172.81,4.45,16.09,5.49,4.41,0.0
20050113:1410,89.13,20.09,81.16,1.91,10.66,5.39,4.14,0.0
20050113:1510,240.59,185.67,64.76,1.28,3.53,4.62,3.72,0.0
20050113:1610,0.0,0.0,0.0,0.0,0.0,3.8,3.52,0.0
20050113:1710,0.0,0.0,0.0,0.0,0.0,3.07,3.38,0.0
20050113:1810,0.0,0.0,0.0,0.0,0.0,2.49,3.31,0.0
20050113:1910,0.0,0.0,0.0,0.0,0.0,2.33,3.1,0.0
20050113:2010,0.0,0.0,0.0,0.0,0.0,1.82,2.97,0.0
20050113:2110,0.0,0.0,0.0,0.0,0.0,1.37,3.03,0.0
20050113:2210,0.0,0.0,0.0,0.0,0.0,0.96,3.03,0.0
20050113:2310,0.0,0.0,0.0,0.0,0.0,0.82,3.1,0.0
20050114:0010,0.0,0.0,0.0,0.0,0.0,0.57,3.1,0.0
20050114:0110,0.0,0.0,0.0,0.0,0.0,0.46,3.03,0.0
20050114:0210,0.0,0.0,0.0,0.0,0.0,0.63,3.03,0.0
20050114:0310,0.0,0.0,0.0,0.0,0.0,0.65,3.1,0.0
20050114:0410,0.0,0.0,0.0,0.0,0.0,0.69,3.03,0.0
20050114:0510,0.0,0.0,0.0,0.0,0.0,0.6,2.97,0.0
20050114:0610,0.0,0.0,0.0,0.0,0.0,0.58,2.9,0.0
20050114:0710,0.0,0.0,0.0,0.0,0.0,0.61,2.69,0.0
20050114:0810,228.52,181.81,48.17,1.66,8.35,0.74,2.62,0.0
20050114:0910,249.64,130.91,115.68,3.06,14.47,1.15,3.03,0.0
20050114:1010,149.52,30.14,125.3,3.04,18.61,1.42,2.76,0.0
20050114:1110,749.29,579.68,153.25,6.88,20.37,1.82,3.03,0.0
20050114:1210,665.75,462.06,187.49,6.4,19.57,2.67,3.17,0.0
20050114:1310,15.63,0.0,26.84,0.63,16.29,2.85,3.03,0.0
20050114:1410,18.82,0.0,30.41,0.71,10.85,2.65,2.48,0.0
20050114:1510,196.57,143.02,63.49,1.26,3.72,2.35,1.72,0.0
20050114:1610,0.0,0.0,0.0,0.0,0.0,1.37,1.52,0.0
20050114:1710,0.0,0.0,0.0,0.0,0.0,0.16,1.45,0.0
20050114:1810,0.0,0.0,0.0,0.0,0.0,-0.97,1.17,0.0
20050114:1910,0.0,0.0,0.0,0.0,0.0,-0.58,0.97,0.0
20050114:2010,0.0,0.0,0.0,0.0,0.0,-0.35,0.9,0.0
20050114:2110,0.0,0.0,0.0,0.0,0.0,-1.91,1.31,0.0
20050114:2210,0.0,0.0,0.0,0.0,0.0,-2.3,1.45,0.0
20050114:2310,0.0,0.0,0.0,0.0,0.0,-2.77,1.52,0.0
20050115:0010,0.0,0.0,0.0,0.0,0.0,-2.94,1.59,0.0
20050115:0110,0.0,0.0,0.0,0.0,0.0,-3.18,1.59,0.0
20050115:0210,0.0,0.0,0.0,0.0,0.0,-3.08,1.45,0.0
20050115:0310,0.0,0.0,0.0,0.0,0.0,-2.85,1.31,0.0
20050115:0410,0.0,0.0,0.0,0.0,0.0,-2.74,1.31,0.0
20050115:0510,0.0,0.0,0.0,0.0,0.0,-2.68,1.45,0.0
20050115:0610,0.0,0.0,0.0,0.0,0.0,-2.88,1.79,0.0
20050115:0710,0.0,0.0,0.0,0.0,0.0,-3.1,1.72,0.0
20050115:0810,243.91,194.08,47.58,1.72,8.46,-2.7,1.52,0.0
20050115:0910,546.91,442.0,86.11,4.36,14.61,-1.24,1.45,0.0
20050115:1010,708.96,578.78,117.15,6.25,18.77,0.27,1.66,0.0
20050115:1110,831.73,721.15,108.81,7.46,20.55,1.19,1.86,0.0
20050115:1210,835.47,712.9,120.37,7.38,19.76,1.8,2.21,0.0
