Latitude (decimal degrees):	0.317
Longitude (decimal degrees):	32.593
Elevation (m):	1151
Radiation database:	PVGIS-SARAH2


Slope: 0 deg. (optimum)
Azimuth: -109667705 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20050104:0506,76.91,115.01,16.36,19.13,1.1,0.0
20050104:0606,297.77,386.04,29.94,22.5,1.17,0.0
20050104:0706,394.56,509.03,43.03,23.15,1.1,0.0
20050104:0806,610.68,810.05,54.99,24.19,0.97,0.0
20050104:0906,410.09,540.01,64.13,24.86,0.97,0.0
20050104:1006,700.23,949.05,66.78,25.53,1.38,0.0
20050104:1106,723.48,973.05,61.1,25.81,1.93,0.0
20050104:1206,652.67,862.05,50.54,25.16,2.07,0.0
20050104:1306,549.0,710.05,38.03,23.31,2.14,0.0
20050104:1406,364.46,485.05,24.69,23.29,1.24,0.0
20050104:1506,144.21,232.04,11.01,22.92,0.83,0.0
20050104:1606,0.0,0.0,-2.81,22.5,1.17,0.0
20050104:1706,0.0,0.0,0.0,21.37,1.38,0.0
20050104:1806,0.0,0.0,0.0,20.48,1.52,0.0
20050104:1906,0.0,0.0,0.0,20.1,2.34,0.0
20050104:2006,0.0,0.0,0.0,20.28,2.55,0.0
20050104:2106,0.0,0.0,0.0,20.17,2.55,0.0
20050104:2206,0.0,0.0,0.0,20.02,2.48,0.0
20050104:2306,0.0,0.0,0.0,19.88,2.41,0.0
20050105:0006,0.0,0.0,0.0,19.59,2.28,0.0
20050105:0106,0.0,0.0,0.0,19.65,2.55,0.0
20050105:0206,0.0,0.0,0.0,19.55,2.41,0.0
20050105:0306,0.0,0.0,0.0,19.51,2.21,0.0
20050105:0406,0.0,0.0,0.0,19.31,2.0,0.0
20050105:0506,67.2,102.01,16.27,20.41,1.52,0.0
20050105:0606,274.39,355.03,29.87,23.03,2.21,0.0
20050105:0706,456.51,589.04,42.98,23.82,1.38,0.0
20050105:0806,592.83,778.05,54.98,24.75,1.66,0.0
20050105:0906,678.91,902.05,64.17,25.15,2.0,0.0
20050105:1006,730.99,976.05,66.9,25.04,2.21,0.0
20050105:1106,678.19,895.04,61.25,23.03,1.86,0.0
20050105:1206,415.84,543.01,50.69,23.39,0.97,0.0
20050105:1306,526.59,693.05,38.16,23.85,0.97,0.0
20050105:1406,353.16,471.04,24.81,23.57,0.9,0.0
20050105:1506,146.89,236.04,11.12,23.38,1.1,0.0
20050105:1606,0.0,0.0,-2.72,22.61,1.03,0.0
20050105:1706,0.0,0.0,0.0,21.56,0.76,0.0
20050105:1806,0.0,0.0,0.0,21.53,0.76,0.0
20050105:1906,0.0,0.0,0.0,19.37,1.79,0.0
20050105:2006,0.0,0.0,0.0,18.98,1.86,0.0
20050105:2106,0.0,0.0,0.0,18.92,1.86,0.0
20050105:2206,0.0,0.0,0.0,18.84,1.79,0.0
20050105:2306,0.0,0.0,0.0,19.03,1.52,0.0
20050106:0006,0.0,0.0,0.0,19.69,1.24,0.0
20050106:0106,0.0,0.0,0.0,20.88,0.83,0.0
20050106:0206,0.0,0.0,0.0,20.16,0.9,0.0
20050106:0306,0.0,0.0,0.0,18.75,1.17,0.0
20050106:0406,0.0,0.0,0.0,17.4,1.52,0.0
20050106:0506,74.04,112.01,16.19,20.26,0.48,0.0
20050106:0606,292.61,383.04,29.8,22.74,0.28,0.0
20050106:0706,458.41,601.05,42.94,23.67,0.21,0.0
20050106:0806,606.33,809.05,54.97,24.87,0.83,0.0
20050106:0906,693.73,943.06,64.23,25.21,0.97,0.0
20050106:1006,746.31,1026.06,67.03,25.69,1.1,0.0
20050106:1106,717.44,975.05,61.4,26.05,1.45,0.0
20050106:1206,661.42,875.05,50.83,24.88,1.93,0.0
20050106:1306,544.03,706.05,38.29,24.06,2.14,0.0
20050106:1406,368.96,490.05,24.93,23.86,1.66,0.0
20050106:1506,148.51,238.04,11.22,23.62,1.38,0.0
20050106:1606,0.0,0.0,-2.62,22.87,1.52,0.0
20050106:1706,0.0,0.0,0.0,21.93,1.86,0.0
20050106:1806,0.0,0.0,0.0,21.39,2.07,0.0
20050106:1906,0.0,0.0,0.0,21.48,2.83,0.0
20050106:2006,0.0,0.0,0.0,21.4,2.97,0.0
20050106:2106,0.0,0.0,0.0,21.36,3.03,0.0
20050106:2206,0.0,0.0,0.0,21.33,2.9,0.0
20050106:2306,0.0,0.0,0.0,21.12,2.62,0.0
20050107:0006,0.0,0.0,0.0,20.51,2.14,0.0
20050107:0106,0.0,0.0,0.0,19.97,1.38,0.0
20050107:0206,0.0,0.0,0.0,20.19,0.97,0.0
20050107:0306,0.0,0.0,0.0,18.62,1.38,0.0
20050107:0406,0.0,0.0,0.0,18.17,1.45,0.0
20050107:0506,17.35,35.0,16.11,20.35,0.55,0.0
20050107:0606,74.09,109.0,29.74,22.75,0.55,0.0
20050107:0706,195.44,259.0,42.9,23.93,1.52,0.0
20050107:0806,64.92,98.0,54.97,24.48,2.21,0.0
20050107:0906,339.72,439.0,64.29,24.01,2.62,0.0
20050107:1006,519.25,670.02,67.16,23.83,3.1,0.0
20050107:1106,609.38,792.03,61.56,23.19,2.55,0.0
20050107:1206,635.75,829.05,50.98,23.73,2.34,0.0
20050107:1306,554.81,724.05,38.42,23.97,1.72,0.0
20050107:1406,368.07,492.05,25.05,24.09,1.03,0.0
20050107:1506,152.2,247.05,11.33,23.35,0.76,0.0
20050107:1606,0.0,0.0,-2.52,22.61,0.62,0.0
20050107:1706,0.0,0.0,0.0,21.98,0.97,0.0
20050107:1806,0.0,0.0,0.0,21.15,1.31,0.0
20050107:1906,0.0,0.0,0.0,20.25,1.66,0.0
20050107:2006,0.0,0.0,0.0,19.96,1.79,0.0
20050107:2106,0.0,0.0,0.0,19.76,1.93,0.0
20050107:2206,0.0,0.0,0.0,19.34,1.93,0.0
20050107:2306,0.0,0.0,0.0,18.91,1.72,0.0
20050108:0006,0.0,0.0,0.0,18.58,1.72,0.0
20050108:0106,0.0,0.0,0.0,18.63,1.66,0.0
20050108:0206,0.0,0.0,0.0,18.58,1.17,0.0
20050108:0306,0.0,0.0,0.0,19.16,0.62,0.0
20050108:0406,0.0,0.0,0.0,19.44,0.34,0.0
20050108:0506,71.83,109.01,16.03,19.8,0.14,0.0
20050108:0606,131.64,179.0,29.68,21.18,0.28,0.0
20050108:0706,196.64,259.0,42.86,21.94,0.83,0.0
20050108:0806,73.01,108.0,54.97,23.4,0.41,0.0
20050108:0906,592.46,801.04,64.35,24.22,0.34,0.0
20050108:1006,645.8,882.04,67.3,24.88,0.55,0.0
20050108:1106,394.5,519.0,61.72,25.41,1.31,0.0
20050108:1206,197.27,263.0,51.13,25.43,1.86,0.0
20050108:1306,529.95,695.05,38.55,25.46,1.79,0.0
20050108:1406,372.63,497.05,25.17,24.88,1.66,0.0
20050108:1506,151.89,243.04,11.44,24.15,1.52,0.0
20050108:1606,0.0,0.0,-2.43,23.1,2.14,0.0
20050108:1706,0.0,0.0,0.0,21.98,2.55,0.0
20050108:1806,0.0,0.0,0.0,21.4,2.55,0.0
20050108:1906,0.0,0.0,0.0,21.19,2.14,0.0
20050108:2006,0.0,0.0,0.0,20.5,2.14,0.0
20050108:2106,0.0,0.0,0.0,20.05,2.07,0.0
20050108:2206,0.0,0.0,0.0,19.68,1.93,0.0
20050108:2306,0.0,0.0,0.0,19.41,1.66,0.0
20050109:0006,0.0,0.0,0.0,19.3,1.66,0.0
20050109:0106,0.0,0.0,0.0,18.7,1.79,0.0
20050109:0206,0.0,0.0,0.0,18.72,1.93,0.0
20050109:0306,0.0,0.0,0.0,18.88,1.79,0.0
20050109:0406,0.0,0.0,0.0,18.96,1.59,0.0
20050109:0506,38.89,64.0,15.95,19.79,1.03,0.0
20050109:0606,152.65,205.0,29.62,21.94,0.76,0.0
20050109:0706,465.07,598.05,42.83,23.34,1.45,0.0
20050109:0806,609.25,799.05,54.97,24.61,1.72,0.0
20050109:0906,713.59,949.06,64.43,25.34,2.21,0.0
20050109:1006,732.6,980.05,67.45,25.08,2.14,0.0
20050109:1106,722.76,969.05,61.88,24.95,1.86,0.0
20050109:1206,663.54,880.05,51.28,25.27,1.93,0.0
20050109:1306,546.62,713.05,38.69,25.35,2.28,0.0
20050109:1406,381.71,507.05,25.29,25.1,2.34,0.0
20050109:1506,153.79,246.04,11.54,24.63,1.86,0.0
20050109:1606,0.0,0.0,-2.34,23.54,1.31,0.0
20050109:1706,0.0,0.0,0.0,22.94,0.76,0.0
20050109:1806,0.0,0.0,0.0,23.31,0.41,0.0
20050109:1906,0.0,0.0,0.0,21.46,1.24,0.0
20050109:2006,0.0,0.0,0.0,20.1,1.59,0.0
20050109:2106,0.0,0.0,0.0,19.83,1.59,0.0
20050109:2206,0.0,0.0,0.0,21.65,0.97,0.0
20050109:2306,0.0,0.0,0.0,21.64,0.55,0.0
20050110:0006,0.0,0.0,0.0,18.35,1.72,0.0
20050110:0106,0.0,0.0,0.0,18.44,2.14,0.0
20050110:0206,0.0,0.0,0.0,18.59,2.21,0.0
20050110:0306,0.0,0.0,0.0,18.17,2.0,0.0
20050110:0406,0.0,0.0,0.0,17.49,1.66,0.0
20050110:0506,18.23,36.0,15.88,18.76,0.97,0.0
20050110:0606,54.48,84.0,29.56,21.78,1.03,0.0
20050110:0706,258.17,334.0,42.8,22.42,1.72,0.0
20050110:0806,602.01,785.05,54.98,23.82,1.79,0.0
20050110:0906,706.87,944.05,64.5,24.65,1.72,0.0
20050110:1006,751.99,1019.06,67.6,24.99,1.59,0.0
20050110:1106,722.59,960.05,62.05,24.4,2.21,0.0
20050110:1206,649.98,848.05,51.43,23.94,2.48,0.0
20050110:1306,542.7,707.05,38.82,23.83,1.72,0.0
20050110:1406,330.98,437.03,25.41,23.94,1.45,0.0
20050110:1506,158.68,255.05,11.65,23.65,1.38,0.0
20050110:1606,0.0,0.0,-2.25,22.6,1.59,0.0
20050110:1706,0.0,0.0,0.0,21.61,1.86,0.0
20050110:1806,0.0,0.0,0.0,21.19,2.28,0.0
20050110:1906,0.0,0.0,0.0,21.08,2.9,0.0
20050110:2006,0.0,0.0,0.0,21.07,2.97,0.0
20050110:2106,0.0,0.0,0.0,20.96,2.62,0.0
20050110:2206,0.0,0.0,0.0,20.59,1.31,0.0
20050110:2306,0.0,0.0,0.0,20.25,0.97,0.0
20050111:0006,0.0,0.0,0.0,19.28,2.07,0.0
20050111:0106,0.0,0.0,0.0,19.44,2.62,0.0
20050111:0206,0.0,0.0,0.0,19.02,2.28,0.0
20050111:0306,0.0,0.0,0.0,19.06,1.45,0.0
20050111:0406,0.0,0.0,0.0,18.54,1.03,0.0
20050111:0506,7.99,21.0,15.81,19.44,1.79,0.0
20050111:0606,176.69,233.01,29.51,21.08,1.38,0.0
20050111:0706,31.77,55.0,42.77,22.62,1.31,0.0
20050111:0806,178.84,239.0,55.0,23.38,0.69,0.0
20050111:0906,573.64,771.03,64.59,24.49,0.55,0.0
20050111:1006,700.8,965.05,67.77,24.65,0.55,0.0
20050111:1106,699.96,961.05,62.23,24.99,0.69,0.0
20050111:1206,655.0,884.05,51.59,24.95,0.9,0.0
20050111:1306,543.31,717.05,38.96,23.88,0.9,0.0
20050111:1406,367.0,487.04,25.53,23.75,1.24,0.0
20050111:1506,158.31,250.04,11.75,23.16,1.66,0.0
20050111:1606,0.0,0.0,-2.16,22.4,1.1,0.0
20050111:1706,0.0,0.0,0.0,21.33,0.97,0.0
20050111:1806,0.0,0.0,0.0,20.39,1.31,0.0
20050111:1906,0.0,0.0,0.0,20.36,2.14,0.0
20050111:2006,0.0,0.0,0.0,20.09,2.14,0.0
20050111:2106,0.0,0.0,0.0,20.35,1.17,0.0
20050111:2206,0.0,0.0,0.0,21.61,0.14,0.0
20050111:2306,0.0,0.0,0.0,20.71,0.83,0.0
20050112:0006,0.0,0.0,0.0,18.85,1.38,0.0
20050112:0106,0.0,0.0,0.0,18.75,1.66,0.0
20050112:0206,0.0,0.0,0.0,18.4,1.66,0.0
20050112:0306,0.0,0.0,0.0,18.46,1.72,0.0
20050112:0406,0.0,0.0,0.0,18.34,1.38,0.0
20050112:0506,3.29,13.0,15.74,19.2,0.62,0.0
20050112:0606,58.49,89.0,29.46,21.43,0.41,0.0
20050112:0706,349.78,450.02,42.75,22.64,1.24,0.0
20050112:0806,179.87,239.0,55.02,23.78,2.41,0.0
20050112:0906,542.63,705.02,64.68,25.14,2.97,0.0
20050112:1006,752.23,999.05,67.93,25.83,2.97,0.0
20050112:1106,746.49,995.05,62.41,26.58,2.9,0.0
20050112:1206,674.52,896.05,51.75,27.12,2.55,0.0
20050112:1306,549.5,723.05,39.1,27.33,2.41,0.0
20050112:1406,344.59,459.04,25.65,27.08,2.41,0.0
20050112:1506,155.47,246.04,11.85,26.03,2.28,0.0
20050112:1606,0.0,0.0,-2.07,24.64,2.55,0.0
20050112:1706,0.0,0.0,0.0,23.39,2.34,0.0
20050112:1806,0.0,0.0,0.0,22.06,1.59,0.0
20050112:1906,0.0,0.0,0.0,20.99,1.86,0.0
20050112:2006,0.0,0.0,0.0,20.65,1.66,0.0
20050112:2106,0.0,0.0,0.0,22.17,1.03,0.0
20050112:2206,0.0,0.0,0.0,21.8,0.9,0.0
20050112:2306,0.0,0.0,0.0,19.27,1.45,0.0
20050113:0006,0.0,0.0,0.0,19.01,2.14,0.0
20050113:0106,0.0,0.0,0.0,18.97,2.0,0.0
20050113:0206,0.0,0.0,0.0,19.26,0.83,0.0
20050113:0306,0.0,0.0,0.0,18.89,0.9,0.0
20050113:0406,0.0,0.0,0.0,18.5,1.24,0.0
20050113:0506,10.56,25.0,15.67,19.63,1.45,0.0
20050113:0606,98.43,138.0,29.42,21.31,1.31,0.0
20050113:0706,264.18,346.01,42.73,22.66,0.07,0.0
20050113:0806,514.9,676.03,55.04,24.5,1.17,0.0
20050113:0906,683.51,915.05,64.77,25.54,1.72,0.0
20050113:1006,718.0,978.05,68.11,26.18,1.45,0.0
20050113:1106,626.23,853.04,62.59,26.75,0.97,0.0
20050113:1206,504.54,677.02,51.91,26.92,0.83,0.0
20050113:1306,547.79,725.05,39.23,26.44,1.59,0.0
20050113:1406,380.0,502.04,25.77,25.21,2.69,0.0
20050113:1506,161.55,255.04,11.96,24.26,2.62,0.0
20050113:1606,0.0,0.0,-1.98,23.0,2.62,0.0
20050113:1706,0.0,0.0,0.0,22.11,2.21,0.0
20050113:1806,0.0,0.0,0.0,21.43,1.93,0.0
20050113:1906,0.0,0.0,0.0,20.92,1.72,0.0
20050113:2006,0.0,0.0,0.0,20.19,1.66,0.0
20050113:2106,0.0,0.0,0.0,19.78,1.59,0.0
20050113:2206,0.0,0.0,0.0,19.6,1.72,0.0
20050113:2306,0.0,0.0,0.0,19.45,1.86,0.0
20050114:0006,0.0,0.0,0.0,19.37,1.59,0.0
20050114:0106,0.0,0.0,0.0,19.28,1.31,0.0
20050114:0206,0.0,0.0,0.0,19.2,0.9,0.0
20050114:0306,0.0,0.0,0.0,18.89,1.03,0.0
20050114:0406,0.0,0.0,0.0,18.57,1.03,0.0
20050114:0506,2.77,12.0,15.61,19.04,1.03,0.0
20050114:0606,41.55,67.0,29.37,19.65,0.69,0.0
20050114:0706,32.2,55.0,42.72,20.13,1.59,0.0
20050114:0806,91.42,129.0,55.07,20.57,1.45,0.0
20050114:0906,64.1,96.0,64.88,21.54,0.76,0.0
20050114:1006,250.9,329.0,68.29,22.03,0.21,0.0
20050114:1106,98.26,139.0,62.78,22.54,0.14,0.0
20050114:1206,475.58,621.02,52.07,22.76,1.03,0.0
20050114:1306,502.8,645.03,39.37,22.8,2.41,0.0
20050114:1406,387.54,504.04,25.88,21.17,2.07,0.0
20050114:1506,166.03,259.04,12.06,21.12,1.03,0.0
20050114:1606,0.0,0.0,-1.9,21.05,0.76,0.0
20050114:1706,0.0,0.0,0.0,20.45,0.34,0.0
20050114:1806,0.0,0.0,0.0,19.86,0.69,0.0
20050114:1906,0.0,0.0,0.0,18.7,1.38,0.0
20050114:2006,0.0,0.0,0.0,18.37,1.45,0.0
20050114:2106,0.0,0.0,0.0,17.94,1.66,0.0
20050114:2206,0.0,0.0,0.0,18.08,1.45,0.0
20050114:2306,0.0,0.0,0.0,18.19,1.38,0.0
20050115:0006,0.0,0.0,0.0,19.08,1.03,0.0
20050115:0106,0.0,0.0,0.0,19.94,0.76,0.0
20050115:0206,0.0,0.0,0.0,19.89,0.69,0.0
20050115:0306,0.0,0.0,0.0,19.4,0.76,0.0
20050115:0406,0.0,0.0,0.0,19.15,0.9,0.0
20050115:0506,37.26,62.0,15.55,19.82,0.28,0.0
20050115:0606,38.14,63.0,29.33,21.06,0.55,0.0
20050115:0706,160.34,214.0,42.71,22.31,1.72,0.0
20050115:0806,426.85,549.01,55.11,22.87,1.93,0.0
20050115:0906,588.55,763.03,64.98,22.34,2.14,0.0
20050115:1006,740.68,964.05,68.47,21.25,2.62,0.0
20050115:1106,611.94,791.03,62.97,21.33,2.28,0.0
20050115:1206,563.25,728.03,52.23,22.7,2.28,0.0
20050115:1306,130.56,178.0,39.51,23.09,2.41,0.0
20050115:1406,279.24,364.02,26.0,23.26,2.28,0.0
20050115:1506,103.26,149.01,12.15,22.75,1.38,0.0
20050115:1606,0.0,0.0,-1.82,22.04,0.9,0.0
20050115:1706,0.0,0.0,0.0,21.59,0.34,0.0
20050115:1806,0.0,0.0,0.0,21.08,0.62,0.0
20050115:1906,0.0,0.0,0.0,19.0,1.45,0.0
20050115:2006,0.0,0.0,0.0,18.29,1.66,0.0
20050115:2106,0.0,0.0,0.0,18.16,1.72,0.0
20050115:2206,0.0,0.0,0.0,18.05,1.86,0.0
20050115:2306,0.0,0.0,0.0,17.98,1.66,0.0
20050116:0006,0.0,0.0,0.0,18.86,1.24,0.0
20050116:0106,0.0,0.0,0.0,20.18,0.76,0.0
20050116:0206,0.0,0.0,0.0,19.91,0.97,0.0
20050116:0306,0.0,0.0,0.0,17.84,1.59,0.0
20050116:0406,0.0,0.0,0.0,17.44,2.14,0.0
20050116:0506,67.05,103.01,15.49,19.46,1.72,0.0
20050116:0606,279.93,362.03,29.3,22.53,2.0,0.0
20050116:0706,473.56,601.04,42.7,23.24,2.69,0.0
20050116:0806,615.75,794.05,55.15,23.97,2.76,0.0
20050116:0906,707.55,922.05,65.1,23.87,3.03,0.0
20050116:1006,747.19,971.05,68.67,22.5,3.24,0.0
20050116:1106,541.55,702.02,63.17,23.34,2.48,0.0
20050116:1206,674.67,879.05,52.4,23.92,2.76,0.0
20050116:1306,473.23,610.03,39.64,24.2,2.55,0.0
20050116:1406,249.35,327.01,26.12,24.04,2.21,0.0
20050116:1506,126.91,185.01,12.25,23.75,1.52,0.0
20050116:1606,0.0,0.0,-1.74,22.83,0.97,0.0
20050116:1706,0.0,0.0,0.0,21.51,0.9,0.0
20050116:1806,0.0,0.0,0.0,20.02,1.38,0.0
20050116:1906,0.0,0.0,0.0,19.68,2.21,0.0
20050116:2006,0.0,0.0,0.0,19.73,2.41,0.0
20050116:2106,0.0,0.0,0.0,19.65,2.34,0.0
20050116:2206,0.0,0.0,0.0,19.38,2.07,0.0
20050116:2306,0.0,0.0,0.0,18.85,1.79,0.0
20050117:0006,0.0,0.0,0.0,18.4,1.72,0.0
20050117:0106,0.0,0.0,0.0,18.1,1.52,0.0
20050117:0206,0.0,0.0,0.0,18.98,1.03,0.0
20050117:0306,0.0,0.0,0.0,17.57,1.59,0.0
20050117:0406,0.0,0.0,0.0,17.28,1.86,0.0
20050117:0506,82.26,127.02,15.43,19.47,1.03,0.0
20050117:0606,281.8,367.04,29.26,22.68,1.03,0.0
20050117:0706,483.66,624.05,42.7,24.34,1.59,0.0
20050117:0806,619.17,816.05,55.19,25.22,1.66,0.0
20050117:0906,726.18,979.06,65.22,25.92,1.72,0.0
20050117:1006,774.25,1049.06,68.87,26.41,2.14,0.0
20050117:1106,754.63,1014.05,63.37,26.61,2.48,0.0
20050117:1206,680.59,901.05,52.56,26.48,2.62,0.0
20050117:1306,556.42,726.05,39.78,25.63,2.41,0.0
20050117:1406,379.45,505.04,26.23,25.13,1.45,0.0
20050117:1506,164.98,258.04,12.35,24.39,0.83,0.0
20050117:1606,0.0,0.0,-1.66,23.77,1.17,0.0
20050117:1706,0.0,0.0,0.0,22.37,1.24,0.0
20050117:1806,0.0,0.0,0.0,21.07,1.72,0.0
20050117:1906,0.0,0.0,0.0,20.55,2.28,0.0
20050117:2006,0.0,0.0,0.0,20.6,2.69,0.0
20050117:2106,0.0,0.0,0.0,20.6,2.9,0.0
20050117:2206,0.0,0.0,0.0,20.48,2.83,0.0
20050117:2306,0.0,0.0,0.0,20.13,2.41,0.0
20050118:0006,0.0,0.0,0.0,19.38,1.93,0.0
20050118:0106,0.0,0.0,0.0,18.64,1.52,0.0
20050118:0206,0.0,0.0,0.0,18.43,1.38,0.0
20050118:0306,0.0,0.0,0.0,18.29,1.31,0.0
20050118:0406,0.0,0.0,0.0,17.95,1.52,0.0
20050118:0506,67.87,105.01,15.38,19.98,0.9,0.0
20050118:0606,286.19,374.04,29.23,23.31,0.97,0.0
20050118:0706,440.06,564.04,42.69,24.52,2.34,0.0
20050118:0806,632.83,821.05,55.24,25.32,2.9,0.0
20050118:0906,700.24,923.05,65.34,25.97,2.97,0.0
20050118:1006,765.28,1017.05,69.07,26.4,3.24,0.0
20050118:1106,721.6,951.04,63.57,26.47,3.59,0.0
20050118:1206,693.17,903.05,52.73,26.13,3.86,0.0
20050118:1306,571.61,740.05,39.92,25.4,3.1,0.0
20050118:1406,384.99,507.04,26.34,24.93,2.55,0.0
20050118:1506,170.16,267.04,12.44,24.71,2.14,0.0
20050118:1606,0.0,0.0,-1.59,23.91,1.72,0.0
20050118:1706,0.0,0.0,0.0,22.86,1.72,0.0
20050118:1806,0.0,0.0,0.0,21.89,1.93,0.0
20050118:1906,0.0,0.0,0.0,21.37,2.41,0.0
20050118:2006,0.0,0.0,0.0,21.2,2.48,0.0
20050118:2106,0.0,0.0,0.0,21.18,2.69,0.0
20050118:2206,0.0,0.0,0.0,21.18,2.83,0.0
20050118:2306,0.0,0.0,0.0,21.16,2.83,0.0
20050119:0006,0.0,0.0,0.0,21.04,2.76,0.0
20050119:0106,0.0,0.0,0.0,20.98,2.62,0.0
20050119:0206,0.0,0.0,0.0,21.04,2.62,0.0
20050119:0306,0.0,0.0,0.0,21.14,2.34,0.0
20050119:0406,0.0,0.0,0.0,20.62,2.07,0.0
20050119:0506,60.08,94.01,15.33,21.1,1.59,0.0
20050119:0606,178.53,238.01,29.2,24.23,2.14,0.0
20050119:0706,468.26,600.04,42.7,24.83,2.48,0.0
