,usecase,timeframe,time_req,distance,consumption,speed,subfleets,dtime_active,energy_req,dtime_idle,dtime_patience
63,taxi,weekend,2018-01-06 09:30:00+01:00,9.948727454528953,300,28,"['bev', 'icev']",0 days 00:21:19.122101298,2984.618236358686,0 days 00:43:19.178661457,0 days 01:00:00
64,goods,weekend,2018-01-06 10:45:00+01:00,5.977875229505362,300,22,"['bev', 'icev']",0 days 00:16:18.197764827,1793.3625688516088,0 days 01:13:07.908031794,0 days 01:00:00
65,taxi,weekend,2018-01-06 12:00:00+01:00,4.795311012448161,300,28,"['bev', 'icev']",0 days 00:10:16.539987313,1438.5933037344482,0 days 00:36:03.863340669,0 days 01:00:00
66,taxi,weekend,2018-01-06 12:30:00+01:00,5.721697018380928,300,28,"['bev', 'icev']",0 days 00:12:15.646759506,1716.5091055142784,0 days 00:41:22.421966463,0 days 01:00:00
67,taxi,weekend,2018-01-06 13:00:00+01:00,8.373313117737714,300,28,"['bev', 'icev']",0 days 00:17:56.568829423,2511.9939353213144,0 days 01:00:56.809947780,0 days 01:00:00
68,taxi,weekend,2018-01-06 14:00:00+01:00,3.835321980184896,300,28,"['bev', 'icev']",0 days 00:08:13.112826025,1150.5965940554688,0 days 00:30:35.879810547,0 days 01:00:00
69,taxi,weekend,2018-01-06 14:30:00+01:00,2.223250914623053,300,28,"['bev', 'icev']",0 days 00:04:45.846546164,666.9752743869159,0 days 00:53:09.545413444,0 days 01:00:00
70,taxi,weekend,2018-01-06 15:30:00+01:00,7.1020315873068265,300,28,"['bev', 'icev']",0 days 00:15:13.118346939,2130.609476192048,0 days 00:31:41.664145713,0 days 01:00:00
71,taxi,weekend,2018-01-06 16:00:00+01:00,3.296088205545785,300,28,"['bev', 'icev']",0 days 00:07:03.782769283,988.8264616637355,0 days 01:18:54.175256740,0 days 01:00:00
72,taxi,weekend,2018-01-06 16:45:00+01:00,11.92732839594173,300,28,"['bev', 'icev']",0 days 00:25:33.513650907,3578.198518782519,0 days 00:32:42.146826961,0 days 01:00:00
73,goods,weekend,2018-01-07 06:30:00+01:00,5.14889247421727,300,22,"['bev', 'icev']",0 days 00:14:02.546041236,1544.667742265181,0 days 00:35:31.801286450,0 days 01:00:00
74,taxi,weekend,2018-01-07 09:00:00+01:00,12.16996370857455,300,28,"['bev', 'icev']",0 days 00:26:04.709619675,3650.989112572365,0 days 00:42:20.903338350,0 days 01:00:00
75,taxi,weekend,2018-01-07 09:00:00+01:00,7.065597974028666,300,28,"['bev', 'icev']",0 days 00:15:08.434025233,2119.6793922086,0 days 00:30:45.876287753,0 days 01:00:00
76,taxi,weekend,2018-01-07 09:15:00+01:00,4.951438622353323,300,28,"['bev', 'icev']",0 days 00:10:36.613537158,1485.431586705997,0 days 00:30:21.988290542,0 days 01:00:00
77,taxi,weekend,2018-01-07 11:45:00+01:00,8.25008596385377,300,28,"['bev', 'icev']",0 days 00:17:40.725338208,2475.025789156131,0 days 01:23:34.695756276,0 days 01:00:00
78,taxi,weekend,2018-01-07 14:00:00+01:00,4.410960930238085,300,28,"['bev', 'icev']",0 days 00:09:27.123548173,1323.2882790714254,0 days 00:30:06.795056581,0 days 01:00:00
79,taxi,weekend,2018-01-07 14:45:00+01:00,6.832895454193391,300,28,"['bev', 'icev']",0 days 00:14:38.515129825,2049.8686362580174,0 days 00:30:39.096047624,0 days 01:00:00
80,taxi,weekend,2018-01-07 14:45:00+01:00,5.152672781015731,300,28,"['bev', 'icev']",0 days 00:11:02.486500414,1545.8018343047193,0 days 00:43:33.391764753,0 days 01:00:00
81,taxi,weekend,2018-01-07 15:00:00+01:00,6.110582741388879,300,28,"['bev', 'icev']",0 days 00:13:05.646352465,1833.1748224166638,0 days 00:59:56.885814625,0 days 01:00:00
82,taxi,weekend,2018-01-07 15:15:00+01:00,4.770119581743471,300,28,"['bev', 'icev']",0 days 00:10:13.301089082,1431.0358745230415,0 days 01:58:58.730815790,0 days 01:00:00
83,taxi,weekend,2018-01-07 15:15:00+01:00,12.316360170185202,300,28,"['bev', 'icev']",0 days 00:26:23.532021880,3694.908051055561,0 days 00:35:27.131357976,0 days 01:00:00
84,taxi,weekend,2018-01-07 15:15:00+01:00,9.019734230514306,300,28,"['bev', 'icev']",0 days 00:19:19.680115353,2705.920269154292,0 days 00:40:18.562426716,0 days 01:00:00
85,taxi,weekend,2018-01-07 16:15:00+01:00,6.009332670635107,300,28,"['bev', 'icev']",0 days 00:12:52.628486223,1802.7998011905322,0 days 00:35:16.388180772,0 days 01:00:00
86,taxi,weekend,2018-01-07 18:00:00+01:00,11.524067644077693,300,28,"['bev', 'icev']",0 days 00:24:41.665839951,3457.220293223308,0 days 00:32:25.216976569,0 days 01:00:00
87,goods,weekday,2018-01-08 03:00:00+01:00,2.826095416341122,300,22,"['bev', 'icev']",0 days 00:07:42.451977219,847.8286249023366,0 days 01:41:27.254062197,0 days 01:00:00
88,goods,weekday,2018-01-08 05:30:00+01:00,4.492895372390605,300,22,"['bev', 'icev']",0 days 00:12:15.201060937,1347.8686117171817,0 days 00:39:12.576067812,0 days 01:00:00
89,taxi,weekday,2018-01-08 06:30:00+01:00,8.697512398473826,250,28,"['bev', 'icev']",0 days 00:18:38.251594090,2174.3780996184564,0 days 01:03:19.704170066,0 days 01:00:00
90,taxi,weekday,2018-01-08 07:15:00+01:00,2.0505851139673266,250,28,"['bev', 'icev']",0 days 00:04:23.646657511,512.6462784918316,0 days 01:50:09.024321001,0 days 01:00:00
91,taxi,weekday,2018-01-08 09:45:00+01:00,9.172876125286592,250,28,"['bev', 'icev']",0 days 00:19:39.369787536,2293.219031321648,0 days 00:30:20.703748399,0 days 01:00:00
92,taxi,weekday,2018-01-08 11:30:00+01:00,9.08214747539456,250,28,"['bev', 'icev']",0 days 00:19:27.704675409,2270.53686884864,0 days 00:37:50.290500882,0 days 01:00:00
93,taxi,weekday,2018-01-08 13:45:00+01:00,6.2060728395502975,250,28,"['bev', 'icev']",0 days 00:13:17.923650798,1551.5182098875744,0 days 00:49:50.501119926,0 days 01:00:00
94,taxi,weekday,2018-01-08 14:15:00+01:00,10.26987905742374,250,28,"['bev', 'icev']",0 days 00:22:00.413021668,2567.469764355935,0 days 02:17:57.711688983,0 days 01:00:00
95,taxi,weekday,2018-01-08 15:00:00+01:00,2.750726192254176,250,28,"['bev', 'icev']",0 days 00:05:53.664796147,687.681548063544,0 days 00:32:16.347735081,0 days 01:00:00
96,goods,weekday,2018-01-08 15:00:00+01:00,5.943512563829428,300,22,"['bev', 'icev']",0 days 00:16:12.574783171,1783.0537691488282,0 days 01:48:26.720586817,0 days 01:00:00
97,taxi,weekday,2018-01-08 15:30:00+01:00,4.795453936355666,250,28,"['bev', 'icev']",0 days 00:10:16.558363246,1198.8634840889165,0 days 00:31:15.960922874,0 days 01:00:00
98,goods,weekday,2018-01-09 04:30:00+01:00,7.8875407217432,300,22,"['bev', 'icev']",0 days 00:21:30.688481739,2366.26221652296,0 days 01:03:46.257877861,0 days 01:00:00
99,goods,weekday,2018-01-09 04:45:00+01:00,5.964957516040947,300,22,"['bev', 'icev']",0 days 00:16:16.083957169,1789.4872548122842,0 days 01:05:06.300474910,0 days 01:00:00
100,taxi,weekday,2018-01-09 06:15:00+01:00,5.167375655480736,250,28,"['bev', 'icev']",0 days 00:11:04.376869990,1291.843913870184,0 days 00:30:03.793208302,0 days 01:00:00
101,goods,weekday,2018-01-09 06:45:00+01:00,6.038460991502192,300,22,"['bev', 'icev']",0 days 00:16:28.111798610,1811.5382974506576,0 days 00:30:53.238016522,0 days 01:00:00
102,taxi,weekday,2018-01-09 08:00:00+01:00,3.8992406449475197,250,28,"['bev', 'icev']",0 days 00:08:21.330940063,974.8101612368799,0 days 00:31:43.487192010,0 days 01:00:00
103,taxi,weekday,2018-01-09 08:45:00+01:00,4.951935273887434,250,28,"['bev', 'icev']",0 days 00:10:36.677392356,1237.9838184718585,0 days 00:43:45.434591871,0 days 01:00:00
104,taxi,weekday,2018-01-09 10:00:00+01:00,14.421026922437866,250,28,"['bev', 'icev']",0 days 00:30:54.132032883,3605.2567306094666,0 days 01:59:59.719922995,0 days 01:00:00
105,taxi,weekday,2018-01-09 10:15:00+01:00,7.316542286191638,250,28,"['bev', 'icev']",0 days 00:15:40.698293940,1829.1355715479094,0 days 00:42:36.460201359,0 days 01:00:00
106,taxi,weekday,2018-01-09 12:00:00+01:00,3.697300580165469,250,28,"['bev', 'icev']",0 days 00:07:55.367217451,924.3251450413673,0 days 00:39:39.776281430,0 days 01:00:00
107,taxi,weekday,2018-01-09 12:15:00+01:00,2.3356641701610417,250,28,"['bev', 'icev']",0 days 00:05:00.299679021,583.9160425402604,0 days 00:37:46.788322796,0 days 01:00:00
108,taxi,weekday,2018-01-09 12:15:00+01:00,4.6811204675496265,250,28,"['bev', 'icev']",0 days 00:10:01.858345827,1170.2801168874066,0 days 00:59:31.320950917,0 days 01:00:00
109,taxi,weekday,2018-01-09 12:30:00+01:00,8.584645613974345,250,28,"['bev', 'icev']",0 days 00:18:23.740150366,2146.1614034935865,0 days 00:34:21.330533614,0 days 01:00:00
110,taxi,weekday,2018-01-09 13:30:00+01:00,4.818900380826803,250,28,"['bev', 'icev']",0 days 00:10:19.572906108,1204.7250952067009,0 days 00:47:54.805817529,0 days 01:00:00
111,taxi,weekday,2018-01-09 13:45:00+01:00,5.0971797212781995,250,28,"['bev', 'icev']",0 days 00:10:55.351678450,1274.2949303195498,0 days 02:41:06.461382451,0 days 01:00:00
112,taxi,weekday,2018-01-09 14:00:00+01:00,5.402264640902786,250,28,"['bev', 'icev']",0 days 00:11:34.576882400,1350.5661602256964,0 days 00:32:44.663874766,0 days 01:00:00
113,goods,weekday,2018-01-10 03:30:00+01:00,8.282597207713762,300,22,"['bev', 'icev']",0 days 00:22:35.334088536,2484.7791623141284,0 days 00:32:16.667530494,0 days 01:00:00
114,goods,weekday,2018-01-10 06:30:00+01:00,4.671858896190478,300,22,"['bev', 'icev']",0 days 00:12:44.486001194,1401.5576688571432,0 days 00:57:36.411814310,0 days 01:00:00
115,goods,weekday,2018-01-10 08:15:00+01:00,8.492669174250103,300,22,"['bev', 'icev']",0 days 00:23:09.709501239,2547.800752275031,0 days 00:42:32.878914008,0 days 01:00:00
116,goods,weekday,2018-01-10 08:45:00+01:00,4.161335334847355,300,22,"['bev', 'icev']",0 days 00:11:20.945782064,1248.4006004542066,0 days 00:45:10.533069752,0 days 01:00:00
117,taxi,weekday,2018-01-10 10:30:00+01:00,8.185183322145225,250,28,"['bev', 'icev']",0 days 00:17:32.380712847,2046.295830536306,0 days 00:40:32.349670330,0 days 01:00:00
118,taxi,weekday,2018-01-10 11:30:00+01:00,3.0453711446017158,250,28,"['bev', 'icev']",0 days 00:06:31.547718590,761.342786150429,0 days 00:40:17.817748269,0 days 01:00:00
119,taxi,weekday,2018-01-10 11:45:00+01:00,1.3653547631391878,250,28,"['bev', 'icev']",0 days 00:02:55.545612403,341.33869078479694,0 days 00:36:11.054890684,0 days 01:00:00
120,taxi,weekday,2018-01-10 13:15:00+01:00,2.5426630519038524,250,28,"['bev', 'icev']",0 days 00:05:26.913820959,635.6657629759632,0 days 00:39:04.401065854,0 days 01:00:00
121,taxi,weekday,2018-01-10 13:15:00+01:00,7.693236501765976,250,28,"['bev', 'icev']",0 days 00:16:29.130407371,1923.309125441494,0 days 00:38:27.599579131,0 days 01:00:00
122,taxi,weekday,2018-01-10 13:45:00+01:00,10.616367661176369,250,28,"['bev', 'icev']",0 days 00:22:44.961556436,2654.0919152940924,0 days 00:36:33.126275660,0 days 01:00:00
123,taxi,weekday,2018-01-10 14:00:00+01:00,5.067200481090442,250,28,"['bev', 'icev']",0 days 00:10:51.497204710,1266.8001202726105,0 days 00:30:30.281847537,0 days 01:00:00
124,taxi,weekday,2018-01-10 14:30:00+01:00,13.63356874256926,250,28,"['bev', 'icev']",0 days 00:29:12.887409757,3408.392185642315,0 days 01:01:51.072531204,0 days 01:00:00
125,goods,weekday,2018-01-11 04:00:00+01:00,5.641240231603018,300,22,"['bev', 'icev']",0 days 00:15:23.112037897,1692.3720694809056,0 days 00:31:50.813900522,0 days 01:00:00
126,goods,weekday,2018-01-11 05:30:00+01:00,5.805148875916245,300,22,"['bev', 'icev']",0 days 00:15:49.933452423,1741.5446627748736,0 days 00:33:56.390369907,0 days 01:00:00
127,goods,weekday,2018-01-11 05:30:00+01:00,4.034080780958499,300,22,"['bev', 'icev']",0 days 00:11:00.122309610,1210.2242342875497,0 days 00:40:26.874633460,0 days 01:00:00
128,taxi,weekday,2018-01-11 09:45:00+01:00,3.6559108297215035,250,28,"['bev', 'icev']",0 days 00:07:50.045678108,913.9777074303759,0 days 00:37:16.869347461,0 days 01:00:00
129,taxi,weekday,2018-01-11 10:15:00+01:00,10.458868941488388,250,28,"['bev', 'icev']",0 days 00:22:24.711721050,2614.717235372097,0 days 00:33:12.809461892,0 days 01:00:00
130,taxi,weekday,2018-01-11 11:00:00+01:00,15.126925366132511,250,28,"['bev', 'icev']",0 days 00:32:24.890404217,3781.7313415331278,0 days 00:31:00.019533709,0 days 01:00:00
131,taxi,weekday,2018-01-11 12:00:00+01:00,6.113285857688811,250,28,"['bev', 'icev']",0 days 00:13:05.993895990,1528.3214644222028,0 days 00:36:50.994712152,0 days 01:00:00
132,taxi,weekday,2018-01-11 12:15:00+01:00,8.223152847667718,250,28,"['bev', 'icev']",0 days 00:17:37.262508986,2055.7882119169294,0 days 01:03:18.988997097,0 days 01:00:00
133,taxi,weekday,2018-01-11 12:15:00+01:00,4.208102971875113,250,28,"['bev', 'icev']",0 days 00:09:01.041810670,1052.0257429687783,0 days 00:30:53.571266899,0 days 01:00:00
134,taxi,weekday,2018-01-11 12:30:00+01:00,7.706327269514613,250,28,"['bev', 'icev']",0 days 00:16:30.813506079,1926.5818173786533,0 days 02:08:06.586366135,0 days 01:00:00
135,goods,weekday,2018-01-12 04:30:00+01:00,7.5990301471406205,300,22,"['bev', 'icev']",0 days 00:20:43.477660442,2279.709044142186,0 days 00:53:05.010538131,0 days 01:00:00
136,goods,weekday,2018-01-12 05:15:00+01:00,5.2203545921004855,300,22,"['bev', 'icev']",0 days 00:14:14.239842342,1566.1063776301457,0 days 01:05:46.629193207,0 days 01:00:00
137,taxi,weekday,2018-01-12 07:00:00+01:00,12.437921772642559,250,28,"['bev', 'icev']",0 days 00:26:39.161370768,3109.48044316064,0 days 00:31:22.896248966,0 days 01:00:00
138,taxi,weekday,2018-01-12 08:00:00+01:00,3.8744821527142426,250,28,"['bev', 'icev']",0 days 00:08:18.147705349,968.6205381785607,0 days 00:36:18.936818557,0 days 01:00:00
139,taxi,weekday,2018-01-12 08:00:00+01:00,6.606639155629422,250,28,"['bev', 'icev']",0 days 00:14:09.425034294,1651.6597889073555,0 days 00:37:25.143142915,0 days 01:00:00
140,taxi,weekday,2018-01-12 08:45:00+01:00,3.9637039948314525,250,28,"['bev', 'icev']",0 days 00:08:29.619085048,990.9259987078632,0 days 03:17:51.935106224,0 days 01:00:00
141,taxi,weekday,2018-01-12 09:00:00+01:00,7.690278265624592,250,28,"['bev', 'icev']",0 days 00:16:28.750062723,1922.569566406148,0 days 01:00:12.321184777,0 days 01:00:00
142,taxi,weekday,2018-01-12 10:00:00+01:00,12.805213643727065,250,28,"['bev', 'icev']",0 days 00:27:26.384611338,3201.3034109317664,0 days 01:17:23.423415781,0 days 01:00:00
143,taxi,weekday,2018-01-12 13:00:00+01:00,4.588428789428131,250,28,"['bev', 'icev']",0 days 00:09:49.940844354,1147.1071973570329,0 days 01:42:13.200501574,0 days 01:00:00
