block,key,icev,bev_grid,bev_mg,bev_mg_rh
icev,capex_glider_preexisting,True,True,True,True
icev,ccr,1,1,1,1
icev,ls,10,10,10,10
icev,mntex_fix_glider,500,500,500,500
icev,opex_spec_dist,0.3,0.3,0.3,0.3
icev,crev_spec_time,0.1,0.1,0.1,0.1
icev,crev_spec_dist,0.2,0.2,0.2,0.2
brs,system,ac,ac,ac,ac
brs,subfleets,['mb'],['mb'],['mb'],['mb']
brs,data_source,usecases,usecases,usecases,usecases
brs,filename,brs_usecases,brs_usecases,brs_usecases,brs_usecases
brs,filename_mapper,mtf,mtf,mtf,mtf
brs,pwr_lim_f2s,7200,7200,7200,7200
brs,pwr_lim_s2f,7200,7200,7200,7200
brs,opex_spec_f2s,0,0,0,0
brs,opex_spec_s2f,0,0,0,0
mb,num,5,5,5,5
mb,type_unit,mb,mb,mb,mb
mb,capex_fix_glider,500,500,500,500
mb,capex_glider_preexisting,True,True,True,True
mb,capex_fix_charger,200,200,200,200
mb,capex_charger_preexisting,True,True,True,True
mb,ccr,1,1,1,1
mb,ls,10,10,10,10
mb,mntex_spec,0,0,0,0
mb,mntex_fix_glider,30,30,30,30
mb,opex_spec,0,0,0,0
mb,opex_spec_dist,0,0,0,0
mb,crev_spec_time,0.1,0.1,0.1,0.1
mb,crev_spec_energy,0.0002,0.0002,0.0002,0.0002
mb,crev_spec_dist,0,0,0,0
mb,opex_spec_ext_ac,0,0,0,0
mb,opex_spec_ext_dc,0,0,0,0
mb,size_storage_preexisting,3000,3000,3000,3000
mb,capex_storage_preexisting,True,True,True,True
mb,size_storage_max,None,None,None,None
mb,invest_storage,False,False,False,False
mb,capex_spec,0.3,0.3,0.3,0.3
mb,rex,None,None,None,None
mb,mode_scheduling,fcfs,fcfs,fcfs,fcfs
mb,forecast_hours,None,None,None,None
mb,aging,True,True,True,True
mb,chemistry,nmc,nmc,nmc,nmc
mb,temp_battery,None,None,None,None
mb,q_loss_cal_init,0,0,0,0
mb,q_loss_cyc_init,0,0,0,0
mb,soc_init,1,1,1,1
mb,soc_min,None,None,None,None
mb,soc_max,None,None,None,None
mb,soc_target,0.95,0.95,0.95,0.95
mb,soc_return,0.1,0.1,0.1,0.1
mb,dsoc_buffer,0.05,0.05,0.05,0.05
mb,pwr_chg_max,1500,1500,1500,1500
mb,pwr_dis_max,1500,1500,1500,1500
mb,pwr_ext_ac_max,0,0,0,0
mb,pwr_ext_dc_max,0,0,0,0
mb,eff_storage_roundtrip,0.95,0.95,0.95,0.95
mb,eff_chg_ac,0.95,0.95,0.95,0.95
mb,eff_chg_dc,0.95,0.95,0.95,0.95
mb,eff_dis_ac,0.95,0.95,0.95,0.95
mb,eff_dis_dc,0.95,0.95,0.95,0.95
mb,sdr,0.02,0.02,0.02,0.02
