time,power_w
2005-01-02 15:15:00+01:00,4498
2005-01-02 15:30:00+01:00,1913
2005-01-02 15:45:00+01:00,3217
2005-01-02 16:00:00+01:00,3380
2005-01-02 16:15:00+01:00,3403
2005-01-02 16:30:00+01:00,0
2005-01-02 16:45:00+01:00,251
2005-01-02 17:00:00+01:00,2215
2005-01-02 17:15:00+01:00,3080
2005-01-02 17:30:00+01:00,3428
2005-01-02 17:45:00+01:00,2188
2005-01-02 18:00:00+01:00,2489
2005-01-02 18:15:00+01:00,6307
2005-01-02 18:30:00+01:00,2019
2005-01-02 18:45:00+01:00,5358
2005-01-02 19:00:00+01:00,4313
2005-01-02 19:15:00+01:00,7173
2005-01-02 19:30:00+01:00,9061
2005-01-02 19:45:00+01:00,3607
2005-01-02 20:00:00+01:00,7593
2005-01-02 20:15:00+01:00,3209
2005-01-02 20:30:00+01:00,7804
2005-01-02 20:45:00+01:00,8149
2005-01-02 21:00:00+01:00,5713
2005-01-02 21:15:00+01:00,2016
2005-01-02 21:30:00+01:00,4697
2005-01-02 21:45:00+01:00,5877
2005-01-02 22:00:00+01:00,5848
2005-01-02 22:15:00+01:00,4878
2005-01-02 22:30:00+01:00,5509
2005-01-02 22:45:00+01:00,6625
2005-01-02 23:00:00+01:00,4122
2005-01-02 23:15:00+01:00,5931
2005-01-02 23:30:00+01:00,2631
2005-01-02 23:45:00+01:00,4230
2005-01-03 00:00:00+01:00,5040
2005-01-03 00:15:00+01:00,6281
2005-01-03 00:30:00+01:00,7162
2005-01-03 00:45:00+01:00,5671
2005-01-03 01:00:00+01:00,5501
2005-01-03 01:15:00+01:00,305
2005-01-03 01:30:00+01:00,3494
2005-01-03 01:45:00+01:00,4553
2005-01-03 02:00:00+01:00,4610
2005-01-03 02:15:00+01:00,5324
2005-01-03 02:30:00+01:00,2798
2005-01-03 02:45:00+01:00,7454
2005-01-03 03:00:00+01:00,6405
2005-01-03 03:15:00+01:00,3124
2005-01-03 03:30:00+01:00,5328
2005-01-03 03:45:00+01:00,3558
2005-01-03 04:00:00+01:00,5045
2005-01-03 04:15:00+01:00,3647
2005-01-03 04:30:00+01:00,3110
2005-01-03 04:45:00+01:00,4074
2005-01-03 05:00:00+01:00,3183
2005-01-03 05:15:00+01:00,3304
2005-01-03 05:30:00+01:00,3993
2005-01-03 05:45:00+01:00,4631
2005-01-03 06:00:00+01:00,3341
2005-01-03 06:15:00+01:00,1703
2005-01-03 06:30:00+01:00,513
2005-01-03 06:45:00+01:00,2495
2005-01-03 07:00:00+01:00,1943
2005-01-03 07:15:00+01:00,1599
2005-01-03 07:30:00+01:00,1372
2005-01-03 07:45:00+01:00,3275
2005-01-03 08:00:00+01:00,1506
2005-01-03 08:15:00+01:00,0
2005-01-03 08:30:00+01:00,2571
2005-01-03 08:45:00+01:00,2052
2005-01-03 09:00:00+01:00,3464
2005-01-03 09:15:00+01:00,2875
2005-01-03 09:30:00+01:00,4614
2005-01-03 09:45:00+01:00,0
2005-01-03 10:00:00+01:00,2946
2005-01-03 10:15:00+01:00,1438
2005-01-03 10:30:00+01:00,1251
2005-01-03 10:45:00+01:00,3343
2005-01-03 11:00:00+01:00,203
2005-01-03 11:15:00+01:00,2078
2005-01-03 11:30:00+01:00,4039
2005-01-03 11:45:00+01:00,6054
2005-01-03 12:00:00+01:00,3978
2005-01-03 12:15:00+01:00,3205
2005-01-03 12:30:00+01:00,3463
2005-01-03 12:45:00+01:00,2192
2005-01-03 13:00:00+01:00,3676
2005-01-03 13:15:00+01:00,1470
2005-01-03 13:30:00+01:00,3755
2005-01-03 13:45:00+01:00,1318
2005-01-03 14:00:00+01:00,1055
2005-01-03 14:15:00+01:00,1010
2005-01-03 14:30:00+01:00,53
2005-01-03 14:45:00+01:00,2405
2005-01-03 15:00:00+01:00,4131
2005-01-03 15:15:00+01:00,0
2005-01-03 15:30:00+01:00,2085
2005-01-03 15:45:00+01:00,5100
2005-01-03 16:00:00+01:00,596
2005-01-03 16:15:00+01:00,4015
2005-01-03 16:30:00+01:00,797
2005-01-03 16:45:00+01:00,3107
2005-01-03 17:00:00+01:00,3592
2005-01-03 17:15:00+01:00,2065
2005-01-03 17:30:00+01:00,3639
2005-01-03 17:45:00+01:00,2370
2005-01-03 18:00:00+01:00,3829
2005-01-03 18:15:00+01:00,7447
2005-01-03 18:30:00+01:00,7888
2005-01-03 18:45:00+01:00,8631
2005-01-03 19:00:00+01:00,9566
2005-01-03 19:15:00+01:00,10777
2005-01-03 19:30:00+01:00,8728
2005-01-03 19:45:00+01:00,9251
2005-01-03 20:00:00+01:00,9510
2005-01-03 20:15:00+01:00,11135
2005-01-03 20:30:00+01:00,10359
2005-01-03 20:45:00+01:00,9202
2005-01-03 21:00:00+01:00,10446
2005-01-03 21:15:00+01:00,8787
2005-01-03 21:30:00+01:00,6597
2005-01-03 21:45:00+01:00,9099
2005-01-03 22:00:00+01:00,9584
2005-01-03 22:15:00+01:00,8768
2005-01-03 22:30:00+01:00,6591
2005-01-03 22:45:00+01:00,8109
2005-01-03 23:00:00+01:00,5971
2005-01-03 23:15:00+01:00,7156
2005-01-03 23:30:00+01:00,5201
2005-01-03 23:45:00+01:00,5575
2005-01-04 00:00:00+01:00,5054
2005-01-04 00:15:00+01:00,1856
2005-01-04 00:30:00+01:00,3368
2005-01-04 00:45:00+01:00,2502
2005-01-04 01:00:00+01:00,3806
2005-01-04 01:15:00+01:00,1922
2005-01-04 01:30:00+01:00,3667
2005-01-04 01:45:00+01:00,3764
2005-01-04 02:00:00+01:00,3787
2005-01-04 02:15:00+01:00,2309
2005-01-04 02:30:00+01:00,2374
2005-01-04 02:45:00+01:00,3505
2005-01-04 03:00:00+01:00,3197
2005-01-04 03:15:00+01:00,4753
2005-01-04 03:30:00+01:00,3735
2005-01-04 03:45:00+01:00,1100
2005-01-04 04:00:00+01:00,4022
2005-01-04 04:15:00+01:00,3926
2005-01-04 04:30:00+01:00,4774
2005-01-04 04:45:00+01:00,2889
2005-01-04 05:00:00+01:00,2622
2005-01-04 05:15:00+01:00,2792
2005-01-04 05:30:00+01:00,3575
2005-01-04 05:45:00+01:00,3096
2005-01-04 06:00:00+01:00,2493
2005-01-04 06:15:00+01:00,630
2005-01-04 06:30:00+01:00,800
2005-01-04 06:45:00+01:00,1456
2005-01-04 07:00:00+01:00,553
2005-01-04 07:15:00+01:00,1887
2005-01-04 07:30:00+01:00,1999
2005-01-04 07:45:00+01:00,1274
2005-01-04 08:00:00+01:00,1142
2005-01-04 08:15:00+01:00,1660
2005-01-04 08:30:00+01:00,538
2005-01-04 08:45:00+01:00,533
2005-01-04 09:00:00+01:00,1000
2005-01-04 09:15:00+01:00,3080
2005-01-04 09:30:00+01:00,3161
2005-01-04 09:45:00+01:00,1603
2005-01-04 10:00:00+01:00,2478
2005-01-04 10:15:00+01:00,831
2005-01-04 10:30:00+01:00,1750
2005-01-04 10:45:00+01:00,1902
2005-01-04 11:00:00+01:00,2405
2005-01-04 11:15:00+01:00,1647
2005-01-04 11:30:00+01:00,1734
2005-01-04 11:45:00+01:00,812
2005-01-04 12:00:00+01:00,530
2005-01-04 12:15:00+01:00,4013
2005-01-04 12:30:00+01:00,2997
2005-01-04 12:45:00+01:00,1948
2005-01-04 13:00:00+01:00,3029
2005-01-04 13:15:00+01:00,1467
2005-01-04 13:30:00+01:00,4505
2005-01-04 13:45:00+01:00,3745
2005-01-04 14:00:00+01:00,2654
2005-01-04 14:15:00+01:00,2143
2005-01-04 14:30:00+01:00,1699
2005-01-04 14:45:00+01:00,1715
2005-01-04 15:00:00+01:00,1813
2005-01-04 15:15:00+01:00,1797
2005-01-04 15:30:00+01:00,1702
2005-01-04 15:45:00+01:00,2165
2005-01-04 16:00:00+01:00,2152
2005-01-04 16:15:00+01:00,3174
2005-01-04 16:30:00+01:00,2338
2005-01-04 16:45:00+01:00,3533
2005-01-04 17:00:00+01:00,1681
2005-01-04 17:15:00+01:00,6621
2005-01-04 17:30:00+01:00,3970
2005-01-04 17:45:00+01:00,3926
2005-01-04 18:00:00+01:00,2960
2005-01-04 18:15:00+01:00,6333
2005-01-04 18:30:00+01:00,4885
2005-01-04 18:45:00+01:00,5356
2005-01-04 19:00:00+01:00,6947
2005-01-04 19:15:00+01:00,7185
2005-01-04 19:30:00+01:00,6583
2005-01-04 19:45:00+01:00,3473
2005-01-04 20:00:00+01:00,6259
2005-01-04 20:15:00+01:00,6090
2005-01-04 20:30:00+01:00,5813
2005-01-04 20:45:00+01:00,5438
2005-01-04 21:00:00+01:00,6235
2005-01-04 21:15:00+01:00,6108
2005-01-04 21:30:00+01:00,7176
2005-01-04 21:45:00+01:00,6069
2005-01-04 22:00:00+01:00,5118
2005-01-04 22:15:00+01:00,4514
2005-01-04 22:30:00+01:00,7142
2005-01-04 22:45:00+01:00,5176
2005-01-04 23:00:00+01:00,6171
2005-01-04 23:15:00+01:00,4819
2005-01-04 23:30:00+01:00,2705
2005-01-04 23:45:00+01:00,3860
2005-01-05 00:00:00+01:00,8030
2005-01-05 00:15:00+01:00,521
2005-01-05 00:30:00+01:00,1251
2005-01-05 00:45:00+01:00,3188
2005-01-05 01:00:00+01:00,5149
2005-01-05 01:15:00+01:00,5758
2005-01-05 01:30:00+01:00,2026
2005-01-05 01:45:00+01:00,4974
2005-01-05 02:00:00+01:00,3510
2005-01-05 02:15:00+01:00,7042
2005-01-05 02:30:00+01:00,3807
2005-01-05 02:45:00+01:00,3859
2005-01-05 03:00:00+01:00,4743
2005-01-05 03:15:00+01:00,4263
2005-01-05 03:30:00+01:00,4639
2005-01-05 03:45:00+01:00,3527
2005-01-05 04:00:00+01:00,1590
2005-01-05 04:15:00+01:00,3696
2005-01-05 04:30:00+01:00,2323
2005-01-05 04:45:00+01:00,3173
2005-01-05 05:00:00+01:00,4369
2005-01-05 05:15:00+01:00,2737
2005-01-05 05:30:00+01:00,4098
2005-01-05 05:45:00+01:00,1144
2005-01-05 06:00:00+01:00,3414
2005-01-05 06:15:00+01:00,2074
2005-01-05 06:30:00+01:00,2189
2005-01-05 06:45:00+01:00,3110
2005-01-05 07:00:00+01:00,982
2005-01-05 07:15:00+01:00,3846
2005-01-05 07:30:00+01:00,2712
2005-01-05 07:45:00+01:00,1081
2005-01-05 08:00:00+01:00,2527
2005-01-05 08:15:00+01:00,1809
2005-01-05 08:30:00+01:00,3235
2005-01-05 08:45:00+01:00,1985
2005-01-05 09:00:00+01:00,3628
2005-01-05 09:15:00+01:00,352
2005-01-05 09:30:00+01:00,1388
2005-01-05 09:45:00+01:00,2467
2005-01-05 10:00:00+01:00,1413
2005-01-05 10:15:00+01:00,3328
2005-01-05 10:30:00+01:00,1829
2005-01-05 10:45:00+01:00,2762
2005-01-05 11:00:00+01:00,6820
2005-01-05 11:15:00+01:00,3404
2005-01-05 11:30:00+01:00,901
2005-01-05 11:45:00+01:00,875
2005-01-05 12:00:00+01:00,1485
2005-01-05 12:15:00+01:00,3362
2005-01-05 12:30:00+01:00,5180
2005-01-05 12:45:00+01:00,2477
2005-01-05 13:00:00+01:00,2154
2005-01-05 13:15:00+01:00,3040
2005-01-05 13:30:00+01:00,4711
2005-01-05 13:45:00+01:00,3757
2005-01-05 14:00:00+01:00,5283
2005-01-05 14:15:00+01:00,1404
2005-01-05 14:30:00+01:00,4105
2005-01-05 14:45:00+01:00,288
2005-01-05 15:00:00+01:00,3544
2005-01-05 15:15:00+01:00,1162
2005-01-05 15:30:00+01:00,742
2005-01-05 15:45:00+01:00,3757
2005-01-05 16:00:00+01:00,1534
2005-01-05 16:15:00+01:00,2070
2005-01-05 16:30:00+01:00,2537
2005-01-05 16:45:00+01:00,4157
2005-01-05 17:00:00+01:00,2491
2005-01-05 17:15:00+01:00,3250
2005-01-05 17:30:00+01:00,5463
2005-01-05 17:45:00+01:00,5991
2005-01-05 18:00:00+01:00,4923
2005-01-05 18:15:00+01:00,4680
2005-01-05 18:30:00+01:00,2357
2005-01-05 18:45:00+01:00,4624
2005-01-05 19:00:00+01:00,4221
2005-01-05 19:15:00+01:00,2302
2005-01-05 19:30:00+01:00,4411
2005-01-05 19:45:00+01:00,9822
2005-01-05 20:00:00+01:00,6271
2005-01-05 20:15:00+01:00,5960
2005-01-05 20:30:00+01:00,10110
2005-01-05 20:45:00+01:00,9667
2005-01-05 21:00:00+01:00,7679
2005-01-05 21:15:00+01:00,5992
2005-01-05 21:30:00+01:00,8545
2005-01-05 21:45:00+01:00,9298
2005-01-05 22:00:00+01:00,4442
2005-01-05 22:15:00+01:00,7327
2005-01-05 22:30:00+01:00,6473
2005-01-05 22:45:00+01:00,3978
2005-01-05 23:00:00+01:00,3096
2005-01-05 23:15:00+01:00,2544
2005-01-05 23:30:00+01:00,1662
2005-01-05 23:45:00+01:00,2085
2005-01-06 00:00:00+01:00,4372
2005-01-06 00:15:00+01:00,3243
2005-01-06 00:30:00+01:00,3602
2005-01-06 00:45:00+01:00,4093
2005-01-06 01:00:00+01:00,3891
2005-01-06 01:15:00+01:00,1935
2005-01-06 01:30:00+01:00,2582
2005-01-06 01:45:00+01:00,1498
2005-01-06 02:00:00+01:00,2764
2005-01-06 02:15:00+01:00,1351
2005-01-06 02:30:00+01:00,2754
2005-01-06 02:45:00+01:00,3064
2005-01-06 03:00:00+01:00,2233
2005-01-06 03:15:00+01:00,2911
2005-01-06 03:30:00+01:00,3008
2005-01-06 03:45:00+01:00,1502
2005-01-06 04:00:00+01:00,1504
2005-01-06 04:15:00+01:00,2154
2005-01-06 04:30:00+01:00,2701
2005-01-06 04:45:00+01:00,1663
2005-01-06 05:00:00+01:00,1127
2005-01-06 05:15:00+01:00,2062
2005-01-06 05:30:00+01:00,495
2005-01-06 05:45:00+01:00,2436
2005-01-06 06:00:00+01:00,603
2005-01-06 06:15:00+01:00,47
2005-01-06 06:30:00+01:00,771
2005-01-06 06:45:00+01:00,1278
2005-01-06 07:00:00+01:00,945
2005-01-06 07:15:00+01:00,1123
2005-01-06 07:30:00+01:00,1023
2005-01-06 07:45:00+01:00,1276
2005-01-06 08:00:00+01:00,575
2005-01-06 08:15:00+01:00,405
2005-01-06 08:30:00+01:00,355
2005-01-06 08:45:00+01:00,958
2005-01-06 09:00:00+01:00,1350
2005-01-06 09:15:00+01:00,1099
2005-01-06 09:30:00+01:00,2454
2005-01-06 09:45:00+01:00,2370
2005-01-06 10:00:00+01:00,1808
2005-01-06 10:15:00+01:00,1622
2005-01-06 10:30:00+01:00,3192
2005-01-06 10:45:00+01:00,1929
2005-01-06 11:00:00+01:00,899
2005-01-06 11:15:00+01:00,1850
2005-01-06 11:30:00+01:00,2727
2005-01-06 11:45:00+01:00,1473
2005-01-06 12:00:00+01:00,1901
2005-01-06 12:15:00+01:00,938
2005-01-06 12:30:00+01:00,2285
2005-01-06 12:45:00+01:00,164
2005-01-06 13:00:00+01:00,1331
2005-01-06 13:15:00+01:00,3170
2005-01-06 13:30:00+01:00,1156
2005-01-06 13:45:00+01:00,2104
2005-01-06 14:00:00+01:00,2692
2005-01-06 14:15:00+01:00,3950
2005-01-06 14:30:00+01:00,1204
2005-01-06 14:45:00+01:00,2162
2005-01-06 15:00:00+01:00,1811
2005-01-06 15:15:00+01:00,1374
2005-01-06 15:30:00+01:00,713
2005-01-06 15:45:00+01:00,411
2005-01-06 16:00:00+01:00,1649
2005-01-06 16:15:00+01:00,1525
2005-01-06 16:30:00+01:00,0
2005-01-06 16:45:00+01:00,567
2005-01-06 17:00:00+01:00,2337
2005-01-06 17:15:00+01:00,2351
2005-01-06 17:30:00+01:00,3415
2005-01-06 17:45:00+01:00,2215
2005-01-06 18:00:00+01:00,1713
2005-01-06 18:15:00+01:00,4435
2005-01-06 18:30:00+01:00,4840
2005-01-06 18:45:00+01:00,3592
2005-01-06 19:00:00+01:00,3227
2005-01-06 19:15:00+01:00,5815
2005-01-06 19:30:00+01:00,5112
2005-01-06 19:45:00+01:00,7955
2005-01-06 20:00:00+01:00,5512
2005-01-06 20:15:00+01:00,4304
2005-01-06 20:30:00+01:00,6354
2005-01-06 20:45:00+01:00,6614
2005-01-06 21:00:00+01:00,3309
2005-01-06 21:15:00+01:00,5875
2005-01-06 21:30:00+01:00,5765
2005-01-06 21:45:00+01:00,3539
2005-01-06 22:00:00+01:00,5386
2005-01-06 22:15:00+01:00,4798
2005-01-06 22:30:00+01:00,3786
2005-01-06 22:45:00+01:00,2680
2005-01-06 23:00:00+01:00,3548
2005-01-06 23:15:00+01:00,2437
2005-01-06 23:30:00+01:00,2572
2005-01-06 23:45:00+01:00,3091
2005-01-07 00:00:00+01:00,6378
2005-01-07 00:15:00+01:00,5658
2005-01-07 00:30:00+01:00,5788
2005-01-07 00:45:00+01:00,5425
2005-01-07 01:00:00+01:00,3484
2005-01-07 01:15:00+01:00,4858
2005-01-07 01:30:00+01:00,4419
2005-01-07 01:45:00+01:00,4046
2005-01-07 02:00:00+01:00,2711
2005-01-07 02:15:00+01:00,7202
2005-01-07 02:30:00+01:00,3265
2005-01-07 02:45:00+01:00,3843
2005-01-07 03:00:00+01:00,1898
2005-01-07 03:15:00+01:00,5419
2005-01-07 03:30:00+01:00,5154
2005-01-07 03:45:00+01:00,5477
2005-01-07 04:00:00+01:00,4394
2005-01-07 04:15:00+01:00,4029
2005-01-07 04:30:00+01:00,3406
2005-01-07 04:45:00+01:00,3183
2005-01-07 05:00:00+01:00,1829
2005-01-07 05:15:00+01:00,3448
2005-01-07 05:30:00+01:00,1681
2005-01-07 05:45:00+01:00,4771
2005-01-07 06:00:00+01:00,3088
2005-01-07 06:15:00+01:00,394
2005-01-07 06:30:00+01:00,2059
2005-01-07 06:45:00+01:00,1057
2005-01-07 07:00:00+01:00,471
2005-01-07 07:15:00+01:00,2960
2005-01-07 07:30:00+01:00,0
2005-01-07 07:45:00+01:00,2006
2005-01-07 08:00:00+01:00,2179
2005-01-07 08:15:00+01:00,2116
2005-01-07 08:30:00+01:00,3322
2005-01-07 08:45:00+01:00,1556
2005-01-07 09:00:00+01:00,1224
2005-01-07 09:15:00+01:00,1893
2005-01-07 09:30:00+01:00,2020
2005-01-07 09:45:00+01:00,2111
2005-01-07 10:00:00+01:00,2228
2005-01-07 10:15:00+01:00,1558
2005-01-07 10:30:00+01:00,4691
2005-01-07 10:45:00+01:00,1408
2005-01-07 11:00:00+01:00,2175
2005-01-07 11:15:00+01:00,2667
2005-01-07 11:30:00+01:00,2692
2005-01-07 11:45:00+01:00,2630
2005-01-07 12:00:00+01:00,2669
2005-01-07 12:15:00+01:00,0
2005-01-07 12:30:00+01:00,907
2005-01-07 12:45:00+01:00,686
2005-01-07 13:00:00+01:00,4351
2005-01-07 13:15:00+01:00,1442
2005-01-07 13:30:00+01:00,3010
2005-01-07 13:45:00+01:00,312
2005-01-07 14:00:00+01:00,1833
2005-01-07 14:15:00+01:00,5011
2005-01-07 14:30:00+01:00,1310
2005-01-07 14:45:00+01:00,1368
2005-01-07 15:00:00+01:00,2976
2005-01-07 15:15:00+01:00,1332
2005-01-07 15:30:00+01:00,3562
2005-01-07 15:45:00+01:00,383
2005-01-07 16:00:00+01:00,1633
2005-01-07 16:15:00+01:00,1228
2005-01-07 16:30:00+01:00,920
2005-01-07 16:45:00+01:00,2998
2005-01-07 17:00:00+01:00,2451
2005-01-07 17:15:00+01:00,3286
2005-01-07 17:30:00+01:00,3120
2005-01-07 17:45:00+01:00,5244
2005-01-07 18:00:00+01:00,1825
2005-01-07 18:15:00+01:00,6413
2005-01-07 18:30:00+01:00,7640
2005-01-07 18:45:00+01:00,2621
2005-01-07 19:00:00+01:00,10097
2005-01-07 19:15:00+01:00,11760
2005-01-07 19:30:00+01:00,7905
2005-01-07 19:45:00+01:00,8107
2005-01-07 20:00:00+01:00,7509
2005-01-07 20:15:00+01:00,7076
2005-01-07 20:30:00+01:00,7961
2005-01-07 20:45:00+01:00,7776
2005-01-07 21:00:00+01:00,6787
2005-01-07 21:15:00+01:00,6139
2005-01-07 21:30:00+01:00,8991
2005-01-07 21:45:00+01:00,5798
2005-01-07 22:00:00+01:00,6595
2005-01-07 22:15:00+01:00,7693
2005-01-07 22:30:00+01:00,7435
2005-01-07 22:45:00+01:00,5955
2005-01-07 23:00:00+01:00,7659
2005-01-07 23:15:00+01:00,5701
2005-01-07 23:30:00+01:00,5402
2005-01-07 23:45:00+01:00,5560
2005-01-08 00:00:00+01:00,2135
2005-01-08 00:15:00+01:00,1991
2005-01-08 00:30:00+01:00,1911
2005-01-08 00:45:00+01:00,2132
2005-01-08 01:00:00+01:00,1424
2005-01-08 01:15:00+01:00,2324
2005-01-08 01:30:00+01:00,3384
2005-01-08 01:45:00+01:00,3065
2005-01-08 02:00:00+01:00,2259
2005-01-08 02:15:00+01:00,1780
2005-01-08 02:30:00+01:00,1615
2005-01-08 02:45:00+01:00,1300
2005-01-08 03:00:00+01:00,2733
2005-01-08 03:15:00+01:00,2559
2005-01-08 03:30:00+01:00,1140
2005-01-08 03:45:00+01:00,2508
2005-01-08 04:00:00+01:00,2660
2005-01-08 04:15:00+01:00,1304
2005-01-08 04:30:00+01:00,2723
2005-01-08 04:45:00+01:00,3032
2005-01-08 05:00:00+01:00,1839
2005-01-08 05:15:00+01:00,2764
2005-01-08 05:30:00+01:00,282
2005-01-08 05:45:00+01:00,937
2005-01-08 06:00:00+01:00,1242
2005-01-08 06:15:00+01:00,940
2005-01-08 06:30:00+01:00,1408
2005-01-08 06:45:00+01:00,1590
2005-01-08 07:00:00+01:00,1885
2005-01-08 07:15:00+01:00,126
2005-01-08 07:30:00+01:00,1094
