profile,period,day,time,power
H0,Summer,Sunday,22:00,145.4
H0,Summer,Sunday,22:15,143.0
H0,Summer,Sunday,22:30,139.2
H0,Summer,Sunday,22:45,133.2
H0,Summer,Sunday,23:00,124.4
H0,Summer,Sunday,23:15,113.8
H0,Summer,Sunday,23:30,102.5
H0,Summer,Sunday,23:45,91.6
H0,Winter,Workday,00:00,67.6
H0,Winter,Workday,00:15,60.8
H0,Winter,Workday,00:30,54.9
H0,Winter,Workday,00:45,49.9
H0,Winter,Workday,01:00,46.2
H0,Winter,Workday,01:15,43.6
H0,Winter,Workday,01:30,41.9
H0,Winter,Workday,01:45,40.8
H0,Winter,Workday,02:00,40.1
H0,Winter,Workday,02:15,39.6
H0,Winter,Workday,02:30,39.4
H0,Winter,Workday,02:45,39.1
H0,Winter,Workday,03:00,38.8
H0,Winter,Workday,03:15,38.6
H0,Winter,Workday,03:30,38.3
H0,Winter,Workday,03:45,38.3
H0,Winter,Workday,04:00,38.4
H0,Winter,Workday,04:15,38.8
H0,Winter,Workday,04:30,39.3
H0,Winter,Workday,04:45,40.0
H0,Winter,Workday,05:00,40.9
H0,Winter,Workday,05:15,43.1
H0,Winter,Workday,05:30,47.7
H0,Winter,Workday,05:45,55.8
H0,Winter,Workday,06:00,68.0
H0,Winter,Workday,06:15,82.8
H0,Winter,Workday,06:30,98.0
H0,Winter,Workday,06:45,111.5
H0,Winter,Workday,07:00,121.6
H0,Winter,Workday,07:15,128.5
H0,Winter,Workday,07:30,132.7
H0,Winter,Workday,07:45,134.8
H0,Winter,Workday,08:00,135.4
H0,Winter,Workday,08:15,134.8
H0,Winter,Workday,08:30,133.1
H0,Winter,Workday,08:45,130.7
H0,Winter,Workday,09:00,127.7
H0,Winter,Workday,09:15,124.6
H0,Winter,Workday,09:30,121.5
H0,Winter,Workday,09:45,119.0
H0,Winter,Workday,10:00,117.3
H0,Winter,Workday,10:15,116.2
H0,Winter,Workday,10:30,115.7
H0,Winter,Workday,10:45,115.7
H0,Winter,Workday,11:00,116.1
H0,Winter,Workday,11:15,117.0
H0,Winter,Workday,11:30,118.7
H0,Winter,Workday,11:45,121.5
H0,Winter,Workday,12:00,125.4
H0,Winter,Workday,12:15,129.6
H0,Winter,Workday,12:30,133.0
H0,Winter,Workday,12:45,134.8
H0,Winter,Workday,13:00,134.2
H0,Winter,Workday,13:15,131.7
H0,Winter,Workday,13:30,128.0
H0,Winter,Workday,13:45,124.0
H0,Winter,Workday,14:00,120.2
H0,Winter,Workday,14:15,116.8
H0,Winter,Workday,14:30,113.7
H0,Winter,Workday,14:45,110.7
H0,Winter,Workday,15:00,107.9
H0,Winter,Workday,15:15,105.5
H0,Winter,Workday,15:30,103.5
H0,Winter,Workday,15:45,102.4
H0,Winter,Workday,16:00,102.2
H0,Winter,Workday,16:15,103.2
H0,Winter,Workday,16:30,105.6
H0,Winter,Workday,16:45,109.9
H0,Winter,Workday,17:00,116.0
H0,Winter,Workday,17:15,123.7
H0,Winter,Workday,17:30,132.6
H0,Winter,Workday,17:45,142.3
H0,Winter,Workday,18:00,152.4
H0,Winter,Workday,18:15,162.2
H0,Winter,Workday,18:30,171.2
H0,Winter,Workday,18:45,178.9
H0,Winter,Workday,19:00,184.7
H0,Winter,Workday,19:15,188.2
H0,Winter,Workday,19:30,188.9
H0,Winter,Workday,19:45,186.4
H0,Winter,Workday,20:00,180.7
H0,Winter,Workday,20:15,172.7
H0,Winter,Workday,20:30,163.9
H0,Winter,Workday,20:45,155.6
H0,Winter,Workday,21:00,148.9
H0,Winter,Workday,21:15,143.4
H0,Winter,Workday,21:30,138.4
H0,Winter,Workday,21:45,133.2
H0,Winter,Workday,22:00,127.2
H0,Winter,Workday,22:15,120.5
H0,Winter,Workday,22:30,113.3
H0,Winter,Workday,22:45,105.7
H0,Winter,Workday,23:00,98.0
H0,Winter,Workday,23:15,90.2
H0,Winter,Workday,23:30,82.5
H0,Winter,Workday,23:45,74.9
H0,Winter,Saturday,00:00,70.8
H0,Winter,Saturday,00:15,68.2
H0,Winter,Saturday,00:30,65.9
H0,Winter,Saturday,00:45,63.3
H0,Winter,Saturday,01:00,59.5
H0,Winter,Saturday,01:15,55.0
H0,Winter,Saturday,01:30,50.5
H0,Winter,Saturday,01:45,46.6
H0,Winter,Saturday,02:00,43.9
H0,Winter,Saturday,02:15,42.3
H0,Winter,Saturday,02:30,41.4
H0,Winter,Saturday,02:45,40.8
H0,Winter,Saturday,03:00,40.3
H0,Winter,Saturday,03:15,39.9
H0,Winter,Saturday,03:30,39.5
H0,Winter,Saturday,03:45,39.1
H0,Winter,Saturday,04:00,38.8
H0,Winter,Saturday,04:15,38.5
H0,Winter,Saturday,04:30,38.3
H0,Winter,Saturday,04:45,38.3
H0,Winter,Saturday,05:00,38.5
H0,Winter,Saturday,05:15,39.1
H0,Winter,Saturday,05:30,40.3
H0,Winter,Saturday,05:45,42.4
H0,Winter,Saturday,06:00,45.6
H0,Winter,Saturday,06:15,49.9
H0,Winter,Saturday,06:30,55.3
H0,Winter,Saturday,06:45,61.6
H0,Winter,Saturday,07:00,68.9
H0,Winter,Saturday,07:15,77.1
H0,Winter,Saturday,07:30,86.1
H0,Winter,Saturday,07:45,95.7
H0,Winter,Saturday,08:00,105.8
H0,Winter,Saturday,08:15,115.8
H0,Winter,Saturday,08:30,124.9
H0,Winter,Saturday,08:45,132.3
H0,Winter,Saturday,09:00,137.6
H0,Winter,Saturday,09:15,141.1
H0,Winter,Saturday,09:30,143.3
H0,Winter,Saturday,09:45,144.8
H0,Winter,Saturday,10:00,146.0
H0,Winter,Saturday,10:15,147.2
H0,Winter,Saturday,10:30,148.4
H0,Winter,Saturday,10:45,149.8
H0,Winter,Saturday,11:00,151.5
H0,Winter,Saturday,11:15,153.5
H0,Winter,Saturday,11:30,156.0
H0,Winter,Saturday,11:45,159.0
H0,Winter,Saturday,12:00,162.4
H0,Winter,Saturday,12:15,165.8
H0,Winter,Saturday,12:30,168.4
H0,Winter,Saturday,12:45,169.8
H0,Winter,Saturday,13:00,169.4
H0,Winter,Saturday,13:15,167.6
H0,Winter,Saturday,13:30,164.8
H0,Winter,Saturday,13:45,161.5
H0,Winter,Saturday,14:00,158.1
H0,Winter,Saturday,14:15,154.9
H0,Winter,Saturday,14:30,151.8
H0,Winter,Saturday,14:45,149.0
H0,Winter,Saturday,15:00,146.5
H0,Winter,Saturday,15:15,144.4
H0,Winter,Saturday,15:30,142.7
H0,Winter,Saturday,15:45,141.5
H0,Winter,Saturday,16:00,140.9
H0,Winter,Saturday,16:15,141.7
H0,Winter,Saturday,16:30,144.9
H0,Winter,Saturday,16:45,151.5
H0,Winter,Saturday,17:00,161.9
H0,Winter,Saturday,17:15,174.6
H0,Winter,Saturday,17:30,187.4
H0,Winter,Saturday,17:45,198.1
H0,Winter,Saturday,18:00,205.2
H0,Winter,Saturday,18:15,209.1
H0,Winter,Saturday,18:30,211.1
H0,Winter,Saturday,18:45,212.2
H0,Winter,Saturday,19:00,213.2
H0,Winter,Saturday,19:15,213.0
H0,Winter,Saturday,19:30,210.4
H0,Winter,Saturday,19:45,203.9
H0,Winter,Saturday,20:00,192.9
H0,Winter,Saturday,20:15,179.0
H0,Winter,Saturday,20:30,164.4
H0,Winter,Saturday,20:45,151.5
H0,Winter,Saturday,21:00,141.9
H0,Winter,Saturday,21:15,135.3
H0,Winter,Saturday,21:30,131.0
H0,Winter,Saturday,21:45,128.2
H0,Winter,Saturday,22:00,126.1
H0,Winter,Saturday,22:15,124.1
H0,Winter,Saturday,22:30,121.6
H0,Winter,Saturday,22:45,118.2
H0,Winter,Saturday,23:00,113.4
H0,Winter,Saturday,23:15,107.4
H0,Winter,Saturday,23:30,100.8
H0,Winter,Saturday,23:45,94.1
H0,Winter,Sunday,00:00,87.5
H0,Winter,Sunday,00:15,81.1
H0,Winter,Sunday,00:30,75.0
H0,Winter,Sunday,00:45,69.1
H0,Winter,Sunday,01:00,63.4
H0,Winter,Sunday,01:15,58.2
H0,Winter,Sunday,01:30,53.6
H0,Winter,Sunday,01:45,49.9
H0,Winter,Sunday,02:00,47.3
H0,Winter,Sunday,02:15,45.5
H0,Winter,Sunday,02:30,44.2
H0,Winter,Sunday,02:45,43.3
H0,Winter,Sunday,03:00,42.4
H0,Winter,Sunday,03:15,41.5
H0,Winter,Sunday,03:30,40.7
H0,Winter,Sunday,03:45,40.0
H0,Winter,Sunday,04:00,39.3
H0,Winter,Sunday,04:15,38.8
H0,Winter,Sunday,04:30,38.5
H0,Winter,Sunday,04:45,38.3
H0,Winter,Sunday,05:00,38.3
H0,Winter,Sunday,05:15,38.4
H0,Winter,Sunday,05:30,38.7
H0,Winter,Sunday,05:45,39.1
H0,Winter,Sunday,06:00,39.7
H0,Winter,Sunday,06:15,40.4
H0,Winter,Sunday,06:30,41.3
H0,Winter,Sunday,06:45,42.4
H0,Winter,Sunday,07:00,44.0
H0,Winter,Sunday,07:15,46.6
H0,Winter,Sunday,07:30,51.1
H0,Winter,Sunday,07:45,58.3
H0,Winter,Sunday,08:00,68.6
H0,Winter,Sunday,08:15,81.3
H0,Winter,Sunday,08:30,95.2
H0,Winter,Sunday,08:45,109.0
H0,Winter,Sunday,09:00,121.9
H0,Winter,Sunday,09:15,133.7
H0,Winter,Sunday,09:30,144.4
H0,Winter,Sunday,09:45,154.0
H0,Winter,Sunday,10:00,162.6
H0,Winter,Sunday,10:15,170.5
H0,Winter,Sunday,10:30,178.0
H0,Winter,Sunday,10:45,185.6
H0,Winter,Sunday,11:00,193.3
H0,Winter,Sunday,11:15,200.6
H0,Winter,Sunday,11:30,206.6
H0,Winter,Sunday,11:45,210.6
H0,Winter,Sunday,12:00,211.8
H0,Winter,Sunday,12:15,210.2
H0,Winter,Sunday,12:30,205.9
H0,Winter,Sunday,12:45,198.9
H0,Winter,Sunday,13:00,189.6
H0,Winter,Sunday,13:15,178.7
H0,Winter,Sunday,13:30,167.3
H0,Winter,Sunday,13:45,156.5
H0,Winter,Sunday,14:00,147.0
H0,Winter,Sunday,14:15,138.9
H0,Winter,Sunday,14:30,132.1
H0,Winter,Sunday,14:45,126.5
H0,Winter,Sunday,15:00,122.0
H0,Winter,Sunday,15:15,118.1
H0,Winter,Sunday,15:30,114.8
H0,Winter,Sunday,15:45,111.5
H0,Winter,Sunday,16:00,108.3
H0,Winter,Sunday,16:15,105.9
H0,Winter,Sunday,16:30,105.2
H0,Winter,Sunday,16:45,107.4
H0,Winter,Sunday,17:00,112.9
H0,Winter,Sunday,17:15,120.9
H0,Winter,Sunday,17:30,130.0
H0,Winter,Sunday,17:45,139.0
H0,Winter,Sunday,18:00,146.8
H0,Winter,Sunday,18:15,153.5
H0,Winter,Sunday,18:30,159.7
H0,Winter,Sunday,18:45,165.6
H0,Winter,Sunday,19:00,171.5
H0,Winter,Sunday,19:15,176.4
H0,Winter,Sunday,19:30,179.1
H0,Winter,Sunday,19:45,178.1
H0,Winter,Sunday,20:00,172.9
H0,Winter,Sunday,20:15,164.7
H0,Winter,Sunday,20:30,155.6
H0,Winter,Sunday,20:45,147.3
H0,Winter,Sunday,21:00,141.4
H0,Winter,Sunday,21:15,137.2
H0,Winter,Sunday,21:30,133.7
H0,Winter,Sunday,21:45,129.8
H0,Winter,Sunday,22:00,124.8
H0,Winter,Sunday,22:15,118.6
H0,Winter,Sunday,22:30,111.6
H0,Winter,Sunday,22:45,104.0
H0,Winter,Sunday,23:00,96.2
H0,Winter,Sunday,23:15,88.4
H0,Winter,Sunday,23:30,80.7
H0,Winter,Sunday,23:45,73.2
H0,Transition,Workday,00:00,77.8
H0,Transition,Workday,00:15,69.6
H0,Transition,Workday,00:30,62.4
H0,Transition,Workday,00:45,56.6
H0,Transition,Workday,01:00,52.5
H0,Transition,Workday,01:15,49.7
H0,Transition,Workday,01:30,47.9
H0,Transition,Workday,01:45,46.6
H0,Transition,Workday,02:00,45.5
H0,Transition,Workday,02:15,44.5
H0,Transition,Workday,02:30,43.8
H0,Transition,Workday,02:45,43.3
H0,Transition,Workday,03:00,43.0
H0,Transition,Workday,03:15,43.0
H0,Transition,Workday,03:30,43.1
H0,Transition,Workday,03:45,43.3
H0,Transition,Workday,04:00,43.4
H0,Transition,Workday,04:15,43.7
H0,Transition,Workday,04:30,44.2
H0,Transition,Workday,04:45,44.9
H0,Transition,Workday,05:00,46.3
H0,Transition,Workday,05:15,48.9
H0,Transition,Workday,05:30,53.7
H0,Transition,Workday,05:45,61.6
H0,Transition,Workday,06:00,72.9
H0,Transition,Workday,06:15,86.3
H0,Transition,Workday,06:30,100.1
H0,Transition,Workday,06:45,112.4
H0,Transition,Workday,07:00,121.8
H0,Transition,Workday,07:15,128.5
H0,Transition,Workday,07:30,132.9
H0,Transition,Workday,07:45,135.7
H0,Transition,Workday,08:00,137.2
H0,Transition,Workday,08:15,137.7
H0,Transition,Workday,08:30,137.7
H0,Transition,Workday,08:45,137.3
H0,Transition,Workday,09:00,136.9
H0,Transition,Workday,09:15,136.4
H0,Transition,Workday,09:30,135.7
H0,Transition,Workday,09:45,134.8
H0,Transition,Workday,10:00,133.7
H0,Transition,Workday,10:15,132.4
H0,Transition,Workday,10:30,131.4
H0,Transition,Workday,10:45,130.7
H0,Transition,Workday,11:00,130.6
H0,Transition,Workday,11:15,131.5
H0,Transition,Workday,11:30,133.6
H0,Transition,Workday,11:45,137.3
H0,Transition,Workday,12:00,142.6
H0,Transition,Workday,12:15,148.2
H0,Transition,Workday,12:30,152.8
H0,Transition,Workday,12:45,154.8
H0,Transition,Workday,13:00,153.2
H0,Transition,Workday,13:15,148.9
H0,Transition,Workday,13:30,143.2
H0,Transition,Workday,13:45,137.3
H0,Transition,Workday,14:00,132.4
H0,Transition,Workday,14:15,128.4
H0,Transition,Workday,14:30,124.8
H0,Transition,Workday,14:45,121.5
H0,Transition,Workday,15:00,118.1
H0,Transition,Workday,15:15,114.8
H0,Transition,Workday,15:30,111.7
H0,Transition,Workday,15:45,109.0
H0,Transition,Workday,16:00,106.9
H0,Transition,Workday,16:15,105.7
H0,Transition,Workday,16:30,105.5
H0,Transition,Workday,16:45,106.5
H0,Transition,Workday,17:00,109.1
H0,Transition,Workday,17:15,113.1
H0,Transition,Workday,17:30,118.3
H0,Transition,Workday,17:45,124.8
H0,Transition,Workday,18:00,132.4
H0,Transition,Workday,18:15,140.6
H0,Transition,Workday,18:30,149.1
H0,Transition,Workday,18:45,157.3
H0,Transition,Workday,19:00,164.9
H0,Transition,Workday,19:15,171.1
H0,Transition,Workday,19:30,175.2
H0,Transition,Workday,19:45,176.5
H0,Transition,Workday,20:00,174.5
H0,Transition,Workday,20:15,170.5
H0,Transition,Workday,20:30,165.7
H0,Transition,Workday,20:45,161.5
H0,Transition,Workday,21:00,158.9
H0,Transition,Workday,21:15,157.2
H0,Transition,Workday,21:30,155.4
H0,Transition,Workday,21:45,152.3
H0,Transition,Workday,22:00,147.2
H0,Transition,Workday,22:15,140.3
H0,Transition,Workday,22:30,132.1
H0,Transition,Workday,22:45,123.2
H0,Transition,Workday,23:00,114.0
H0,Transition,Workday,23:15,104.8
H0,Transition,Workday,23:30,95.6
H0,Transition,Workday,23:45,86.6
H0,Transition,Saturday,00:00,80.2
H0,Transition,Saturday,00:15,75.1
H0,Transition,Saturday,00:30,70.7
H0,Transition,Saturday,00:45,66.6
H0,Transition,Saturday,01:00,62.3
H0,Transition,Saturday,01:15,58.0
H0,Transition,Saturday,01:30,54.1
H0,Transition,Saturday,01:45,50.8
H0,Transition,Saturday,02:00,48.4
H0,Transition,Saturday,02:15,46.8
H0,Transition,Saturday,02:30,45.7
H0,Transition,Saturday,02:45,44.9
H0,Transition,Saturday,03:00,44.4
H0,Transition,Saturday,03:15,43.9
H0,Transition,Saturday,03:30,43.5
H0,Transition,Saturday,03:45,43.3
H0,Transition,Saturday,04:00,43.1
H0,Transition,Saturday,04:15,43.1
H0,Transition,Saturday,04:30,43.1
H0,Transition,Saturday,04:45,43.3
H0,Transition,Saturday,05:00,43.6
H0,Transition,Saturday,05:15,44.2
H0,Transition,Saturday,05:30,45.4
H0,Transition,Saturday,05:45,47.4
H0,Transition,Saturday,06:00,50.5
H0,Transition,Saturday,06:15,54.9
H0,Transition,Saturday,06:30,60.7
H0,Transition,Saturday,06:45,68.2
H0,Transition,Saturday,07:00,77.5
H0,Transition,Saturday,07:15,87.9
H0,Transition,Saturday,07:30,98.6
H0,Transition,Saturday,07:45,109.0
H0,Transition,Saturday,08:00,118.4
H0,Transition,Saturday,08:15,126.7
H0,Transition,Saturday,08:30,133.8
H0,Transition,Saturday,08:45,139.8
H0,Transition,Saturday,09:00,144.7
H0,Transition,Saturday,09:15,148.8
H0,Transition,Saturday,09:30,152.4
H0,Transition,Saturday,09:45,155.6
H0,Transition,Saturday,10:00,158.9
